"APP ID"	"Date Announced"	"CIA Name"	"Grant Type"	"Sub Type"	"Grant Title"	"Admin Institution"	"State"	"Sector"	"Total"	"Broad Research Area"	"Field of Research"	"Res KW1"	"Res KW2"	"Res KW3"	"Res KW4"	"Res KW5"	"Plain Description"
1169827	2019-01-05	"Prof Richard Kanaan"	"Targeted Calls for Research"	"Debilitating Symptom Complexes Attributed to Ticks"	"Developing Treatment for Debilitating Symptom Complexes attributed to Ticks"	"University of Melbourne"	"VIC"	"University"	1055765.76	"Clinical Medicine and Science"	"Psychiatry (incl. Psychotherapy)"	"tick-born encephalitis"	"cognitive behaviour therapy"	"somatoform disorders"	"clinical trial"	"diagnostic criteria"	"DSCATT (Debilitating Symptom Complexes attributed to Ticks) are medically unexplained.  With similar conditions, effective therapies have been developed even though the causes are unclear.  This project would extend that approach to DSCATT.  We would first develop a case definition, then adapt the treatment approach for unexplained syndromes to the specifics of DSCATT.  We would then pilot a randomised controlled trial to confirm the effectiveness of the new therapy."
1169949	2019-01-05	"Prof Peter Irwin"	"Targeted Calls for Research"	"Debilitating Symptom Complexes Attributed to Ticks"	"Troublesome ticks: Determining the aetiology of DSCATT in Australia"	"Murdoch University"	"WA"	"University"	1934787.2	"Public Health"	"Medical Infection Agents (incl. Prions)"	"vector-borne disease"	"molecular microbiology"	"infectious agent"	"zoonoses"	"diagnostic marker"	"This study is designed to detect the cause or causes of debilitating symptom complexes attributed to ticks (DSCATT), and to study the clinical, pathological and psychological consequences of tick-associated illness in Australia. The project brings together a national team of experienced clinicians and medical scientists to improve diagnostic outcomes for patients bitten by ticks through the provision of accurate and evidence-based information about their illness."
1169324	2019-03-07	"Prof Christine Paul"	"Partnership Projects"	"Partnership Project for Better Health"	"Improving outcomes for cancer patients who smoke: The Care to Quit stepped wedge randomised trial to implement best-practice cessation care in cancer centres"	"University of Newcastle"	"NSW"	"University"	1408506.3	"Health Services Research"	"Oncology and Carcinogenesis not elsewhere classified"	"evidence-based health care"	"smoking cessation"	"oncology"	"intervention study"	"translational research"	"Although people with cancer can improve their quality and length of life by quitting smoking, few such patients are provided with the kind of assistance needed to help them quit smoking. This research trial will involve working with doctors, nurses and allied health staff in cancer centres to help them to integrate smoking cessation care into their current practice."
1169395	2019-03-07	"Dr Ross Iles"	"Partnership Projects"	"Partnership Project for Better Health"	"Driving Health: Developing evidence-based strategies to improve the health and safety of transport workers."	"Monash University"	"VIC"	"University"	609670.4	"Public Health"	"Environmental and Occupational Health and Safety"	"occupational health and safety"	"health promotion"	"intervention"	"health service utilisation"	"self-report inventory"	"Truck driving is the most common occupation for Australian men, but truck drivers are at a much higher risk of death and injury at work than other workers. We have forged a partnership that represents truck drivers (Transport Workers Union), employers (Linfox) and government (Centre for Work Health and Safety) working together to find out what leads to poor health in Australian truck drivers. Most importantly, we will develop new ways to help truck drivers be healthy and stay healthy at work."
1169626	2019-03-07	"A/Pr Jason Grebely"	"Partnership Projects"	"Partnership Project for Better Health"	"Enhancing hepatitis C testing and treatment among people who inject drugs attending needle and syringe programs: the TEMPO Study"	"University of New South Wales"	"NSW"	"University"	1396395.4	"Public Health"	"Epidemiology"	"hepatitis c virus"	"injecting drug use"	"drug use"	"treatment"	"infectious diseases"	"In Australia, 170,000 people are living with hepatitis C, with the majority having a history of injecting drug use (80%) or recent injecting drug use (20%). Reducing the hepatitis C burden requires enhanced hepatitis C testing and treatment for people who inject drugs. This Partnership Project will evaluate an intervention to enhance hepatitis C testing and treatment in needle and syringe programs and develop a translational framework for establishing hepatitis C care in this setting nationally."
1169813	2019-03-07	"Prof Mingguang He"	"Partnership Projects"	"Partnership Project for Better Health"	"Improved early diagnosis of eye disease by integration of retinal photography and artificial intelligence to build an opportunistic screening service in regional and remote primary care settings"	"University of Melbourne"	"VIC"	"University"	535887.9	"Health Services Research"	"Ophthalmology"	"diabetic retinopathy"	"artificial neural networks"	"screening"	"indigenous health"	"health services research"	"Half a million Australian adults suffer from vision impairment or blindness and the incidence is expected to rise with the ageing of the Australian population. This research will assess the effectiveness of an automated screening solution designed for primary care settings. This technology has great potential to reduce the burden of vision loss through early detection."
1169822	2019-03-07	"A/Pr Stephen Smith"	"Partnership Projects"	"Partnership Project for Better Health"	"Testing the impact of an Interactive Health Communication Application on days alive out of hospital and quality of life following surgery for colorectal cancer"	"University of Newcastle"	"NSW"	"University"	298835.44	"Health Services Research"	"Public Health and Health Services not elsewhere classified"	"colorectal cancer"	"supportive care"	"quality of life"	"self-management"	"psychosocial"	"Enhanced Recovery After Surgery (ERAS) pathways can improve patient recovery after colorectal cancer surgery. However, there are a range of barriers which limit adherence to ERAS pathways. We will test the effectiveness of an interactive web-based program in improving patient quality of life and increasing days alive and out of hospital following surgery. The program has significant potential to improve quality of life for patients and to reduce health care costs."
1169823	2019-03-07	"A/Pr Li Ming Wen"	"Partnership Projects"	"Partnership Project for Better Health"	"A partnership approach linking two randomised controlled trials for optimising early obesity prevention programs for children under 3 years"	"University of Sydney"	"NSW"	"University"	817818.1	"Public Health"	"Health Promotion"	"health promotion"	"translational research"	"prevention"	"obesity"	"randomised controlled trial (rct)"	"Although it is increasingly argued that childhood obesity prevention should begin in the early years, evidence of effective, cost-effective and sustainable interventions is scarce. This proposal will link the existing 3-arm intervention trial with over 1000 participants to a new randomised controlled trial to address the knowledge gaps in obesity prevention for children aged 2 to 3 years using  telephone support and short message service."
1169829	2019-03-07	"Prof Vicki Flenady"	"Partnership Projects"	"Partnership Project for Better Health"	"Assessing the impact of a stillbirth prevention bundle of care for improving best practice care for women during pregnancy in Australia"	"University of Queensland"	"QLD"	"University"	1291910.2	"Clinical Medicine and Science"	"Medical and Health Sciences not elsewhere classified"	"stillbirth"	"pregnancy"	"prevention"	"maternal health"	"implementation"	"Stillbirth is serious public health problem- 6 babies are stillborn each day in Australia Little improvement has been seen in rates for more than two decades. Many stillbirths can be prevented with better care. To address the gap between what is known and what is done to prevent stillbirth in every day clinical care of women having a baby, an evidence-based bundle of care is proposed for implementation across Australian maternity hospitals. If effective, over 200 lives could be saved annually."
1169938	2019-03-07	"Prof Skye McDonald"	"Partnership Projects"	"Partnership Project for Better Health"	"Establishing the most effective parameters for delivering The Carers Way Ahead as a service for families and carers of adults with TBI."	"University of New South Wales"	"NSW"	"University"	264642.28	"Health Services Research"	"Health, Clinical and Counselling Psychology"	"traumatic brain injury (tbi)"	"family support"	"behavioural problems"	"training"	"telemedicine"	"Severe traumatic brain injury (e.g. from car accidents) can cause long-term problems with social behaviour, aggression and loss of motivation. These are difficult to live with and manage and cause emotional distress for families.  We will trial an on-line program that trains family members how to manage challenging behaviours. We will determine if the program is feasible, how much face-to-face clinical intervention is needed and whether it improves behaviour and carer's sense of burden."
1170032	2019-03-07	"A/Pr Alan Wigg"	"Partnership Projects"	"Partnership Project for Better Health"	"Implementation of a chronic disease management model in chronic liver failure patients to improve rates of emergency admissions providing an opportunity to drive practice change"	"Flinders University"	"SA"	"University"	452229.1	"Clinical Medicine and Science"	"Gastroenterology and Hepatology"	"disease management"	"intervention"	"quality of care"	"health outcomes"	"liver disease"	"Due to current epidemics of alcohol abuse, obesity and hepatitis C an increasing prevalence of chronic liver disease and chronic liver failure is occurring, therefore this application addresses a medical problem of international significance. Our proposal also directly links to the priority area of chronic disease management and improving the effectiveness of care for chronic disease."
1170042	2019-03-07	"Dr Sze Lin Yoong"	"Partnership Projects"	"Partnership Project for Better Health"	"A randomised trial of a multi-component implementation intervention to support childcare services with scheduling opportunities for outdoor free play consistent with sector guidelines"	"University of Newcastle"	"NSW"	"University"	941274.5	"Health Services Research"	"Community Child Health"	"implementation"	"child care centres"	"guidelines"	"child health"	"translational research"	"This is the first RCT of its kind. It will test the effectiveness of a strategy to support childcare services with implementing continuous free play schedules where children have the opportunity to access outdoor areas whenever no structured activities are in place. Such schedules improve child activity and are consistent with national sector regulatory guidelines. The research will provide a model for supporting services with implementing health promoting guidelines at a population level."
1170181	2019-03-07	"Prof Frances Kay-Lambkin"	"Partnership Projects"	"Partnership Project for Better Health"	"The eCliPSE Project: implementing evidence-based eHealth interventions for comorbid mental health and alcohol/other drug use problems into health and community settings"	"University of Newcastle"	"NSW"	"University"	196973.7	"Health Services Research"	"Mental Health"	"internet service delivery"	"implementation"	"marketing"	"mental health"	"addiction treatment"	"This study proposes a 3-year program that integrates technology (via the eCliPSE tool) into the management of mental health and alcohol/other drug use.  It will test the impact of direct-to-consumer marketing with an integrated service translation model, which engages clinical services to sustainable integrate  eClPSE into routine service provision. Uptake, impact, and service improvement for comorbidity will be the key outcomes for the study."
1169824	2019-07-08	"A/Pr Kim Delbaere"	"Targeted Calls for Research"	"Healthy Ageing of Aboriginal and Torres Strait Islander Peoples"	"\"StandingTall-with our Mob\": A holistic approach towards active and healthy ageing"	"University of New South Wales"	"NSW"	"University"	990165.2	"Public Health"	"Aboriginal and Torres Strait Islander Health"	"healthy ageing"	"social determinants of health"	"preventive health"	"culturally appropriate methodology"	"exercise training"	"StandingTall-with our Mob was intentionally designed and structured to be culturally safe by taking a holistic approach to healthy ageing. It considers underlying social determinants of Indigenous health and wellbeing. The program combines novel technology-based approaches with a social group program, with a strong ethos for inclusivity, flexibility and support. Our close engagement of Aboriginal and Māori communities and implementation partners will expedite its availability for community use."
