"APP ID"	"Date Announced"	"CIA Name"	"Grant Type"	"Sub Type"	"Grant Title"	"Admin Institution"	"State"	"Sector"	"Total"	"Broad Research Area"	"Field of Research"	"Res KW1"	"Res KW2"	"Res KW3"	"Res KW4"	"Res KW5"	"Plain Description"
1191407	2020-02-06	"Prof Glenda Halliday"	"International Collaborations"	"NHMRC-EU Joint Programme on Neurodegenerative Disease Research (JPND) JPco-fuND-2 Grants"	"Diagnostic and prognostic precision medicine for behavioural variant frontotemporal dementia"	"University of Sydney"	"NSW"	"University"	498850	"Clinical Medicine and Science"	"Neurology and Neuromuscular Diseases"	"frontotemporal dementia"	"psychiatric disorders"	"neuroimaging"	"neuropathology"	"biomarkers"	"This project addresses the need for better diagnosis and prediction of disease for patients presenting with adult onset behavioral changes between 45 and 75 years of age. These patients may have a neurodegenerative disease called behavioural frontotemporal dementia, or a more treatable psychiatric disease. Current diagnosis takes on average 6 years. This project will develop new diagnostic models using new biological measures for individualized accurate diagnosis at presentation.
"
1191535	2020-02-06	"Dr Samantha Burnham"	"International Collaborations"	"NHMRC-EU Joint Programme on Neurodegenerative Disease Research (JPND) JPco-fuND-2 Grants"	"E-DADS: Early Detection of Alzheimer’s Disease Subtypes"	"Commonwealth Scientific and Industrial Research Organisation"	"ACT"	"Government"	488725	"Clinical Medicine and Science"	"Neurosciences not elsewhere classified"	"alzheimer disease"	"genetics"	"data linkage"	"lifestyle factors"	"data analysis"	"Alzheimer's disease manifests differently in different people. Some people may get the disease at younger ages or they may progress in the disease much faster than others. This grant aims to use large amounts of data from around the world to understand why these differences exist. This knowledge will be converted into a tool where data from a specific individual can be used to forecast if and when they will get the disease and how fast that disease will progress and how it could be prevented."
1191765	2020-02-06	"A/Pr Rosie Watson"	"International Collaborations"	"NHMRC-NIHR Collaborative Research Grants - 2019 Round 1"	"COmBining memantine And cholinesterase inhibitors in Lewy body dementia treatment Trial (COBALT)"	"University of Melbourne"	"VIC"	"University"	1218120.05	"Clinical Medicine and Science"	"Clinical Sciences not elsewhere classified"	"dementia"	"dementia with lewy bodies"	"parkinson disease"	"clinical trial"	"geriatrics"	"Many people who have been diagnosed with dementia with Lewy bodies or Parkinson’s disease dementia will be prescribed drugs known as acetylcholinesterase inhibitors (e.g. donepezil, rivastigmine, galantamine) to help with their symptoms. This research trial, known as COBALT, is designed to find out whether there is any benefit from taking the drug memantine as well. Australian and UK researchers are collaborating on this trial which will recruit eligible participants from both countries."
1191861	2020-02-06	"Prof Colin Masters"	"International Collaborations"	"NHMRC-EU Joint Programme on Neurodegenerative Disease Research (JPND) JPco-fuND-2 Grants"	"Blood Proteins for early Discrimination of dEmentias"	"University of Melbourne"	"VIC"	"University"	498412.2	"Clinical Medicine and Science"	"Medical Biochemistry: Proteins and Peptides (incl. Medical Proteomics)"	"dementia"	"alzheimer disease"	"dementia with lewy bodies"	"frontotemporal dementia"	"biomarkers"	"bPRIDE aims to develop blood biomarkers for early and specific diagnosis of the main dementia types: Alzheimer's disease, frontotemporal dementia and dementia with Lewy bodies, and use these to develop diagnostic tests."
1193803	2020-02-06	"Dr Victoria Ross"	"International Collaborations"	"NHMRC-EU Collaborative Research Grants"	"Mental health promotion and intervention program in the Australian context: MINDUP Australia"	"Griffith University"	"QLD"	"University"	421778.8	"Public Health"	"Mental Health"	"mental health"	"suicide prevention"	"occupational health"	"randomised controlled trial (RCT)"	"intervention study"	"MINDUP Australia aims to address poor mental health and elevated suicide risk in the construction, health and ICT sectors by contributing to the monitoring and evaluation of the European MINDUP workplace intervention. In addition, MINDUP Australia will enhance and extend the European MINDUP project by implementing a cluster randomised controlled trial within the construction industry in Australia. The trial will be conducted in close collaboration with industry partner, Mates in Construction."
1194128	2020-02-06	"Prof Roslyn Boyd"	"International Collaborations"	"NHMRC-EU Collaborative Research Grants"	"Born-To-Get-There: Implementation of early detection and early intervention in remote Australia"	"University of Queensland"	"QLD"	"University"	499329.5	"Clinical Medicine and Science"	"Paediatrics"	"cerebral palsy"	"cerebral palsy treatments"	"maternal mental health"	"indigenous Australians"	"implementation"	"Cerebral palsy (CP) is the most common physical disability in childhood in both high and low-to-middle income countries. The BORN-TO-GET-THERE program will use current evidence on early detection and early interventions for infants at high risk of CP by implementing the International Guideline in Europe, Low income countries and remote populations in Australia (QLD, WA) to improve child motor and learning outcomes and parent mental health."
1194234	2020-02-06	"Prof Helena Teede"	"International Collaborations"	"NHMRC-EU Collaborative Research Grants"	"IMPlementaion ACTion to prevent DIABETES from Bump 2 Baby (IMPACT DIABETES B2B)"	"Monash University"	"VIC"	"University"	497609.1	"Public Health"	"Preventive Medicine"	"pregnancy"	"gestational diabetes"	"type 2 diabetes mellitus (non-insulin dependent diabetes mellitus)"	"lifestyle"	"prevention"	"The IMPACT BUMP 2 BABY (DB2B) multicentre international European Union co-funded program aims to improve healthy lifestyle to prevent gestational diabetes and type 2 diabetes in high risk women and improve the health of their babies over the first 1000 days. Australia is one of four countries that will lead and undertake this work to co-design, implement and evaluate a novel, low cost ,supportive lifestyle intervention for the 30% of women at risk of these conditions in pregnancy and beyond."
1195743	2020-02-06	"Prof Lachlan Coin"	"International Collaborations"	"NHMRC-EU Collaborative Research Grants"	"DIAMONDS - Diagnosis and Management of Febrile Illness using RNA Personalised Molecular Signature Diagnosis"	"University of Melbourne"	"VIC"	"University"	391896.6	"Clinical Medicine and Science"	"Immunology not elsewhere classified"	"infectious diseases"	"gene expression"	"bioinformatics"	"inflammation"	"sepsis"	"We will develop and validate technologies to provide rapid diagnosis to patients presenting to primary care and hospitals on the basis of gene expression signatures in blood."
1195937	2020-02-06	"Prof Luis Salvador-Carulla"	"International Collaborations"	"NHMRC-EU Collaborative Research Grants"	"European platform to promote wellbeing and health in the workplace (EMPOWER)"	"Australian National University"	"ACT"	"University"	499221.8	"Public Health"	"Mental Health"	"electronic health information"	"depression"	"anxiety"	"prevention"	"employment"	"Productivity loss related to mental illness. Digital technologies improve mental health and wellbeing at the workplace. A multimodal digital platform is the software of a website allowing for the interaction of its users and including different modules such as apps, chatbots and virtual assistants. This will be the first multimodal platform developed in Europe. We will provide a critical knowledge transfer for its design, pilot and implementation and will coordinate the impact analysis."
1196800	2020-02-06	"Prof David Walker"	"International Collaborations"	"NHMRC-EU Collaborative Research Grants"	"Brain injury in the premature born infant: stem cell regeneration research network"	"RMIT University"	"VIC"	"University"	496586.5	"Clinical Medicine and Science"	"Paediatrics and Reproductive Medicine not elsewhere classified"	"stem cells"	"perinatal"	"neonatology"	"neuroprotection"	"premature infant"	"This project will validate to the stage of clinical trials a human mesenchymal stem cell paradigm to prevent brain injury associated with preterm birth: encephalopathy of prematurity (EoP), which leads to lifelong disability in millions of infants every year. We will achieve this by applying our vast expertise in EoP, across 7 in vivo and 11 in vitro models of EoP, by applying cutting-edge imaging approaches and partnering with experienced patient/consumer advocacy and industry partners."
