Name,Institution_Paid,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years_Months
"Abboud, Fatme",McGill University,Master's Award: Canada Graduate Scholarships,202112GSM,Special Cases - Awards Programs,Neurobiomarkers of Executive Function Deficits in Adolescents and Young Adults with Congenital Heart Disease,"                 $17,500","                      $0","1 yr 0 mth "
"Abdelnour, Mark",McGill University,Master's Award: Canada Graduate Scholarships,202112GSM,Special Cases - Awards Programs,GAIT ANALYSIS USING THE KINECT DEVICE: A NOVEL OUTCOME MEASURE FOLLOWING A TOTAL HIP ARTHROPLASTY,"                 $17,500","                      $0","1 yr 0 mth "
"Abdul-Rahman, Raneen",University of British Columbia,Master's Award: Canada Graduate Scholarships,202112GSM,Special Cases - Awards Programs,Neuroprotective Role of the Neuronal PAS Domain-Containing Protein 4 (NPAS4) Transcription Factor in MS-Related Neuroinflammation and Degeneration.,"                 $17,500","                      $0","1 yr 0 mth "
"Abdul Razzaq, Faisal",University of Toronto,Master's Award: Canada Graduate Scholarships,202112GSM,Special Cases - Awards Programs,Assessing the role of PTEN deletion in Cholinergic Neurons on Kupffer Cells in Non-Alcoholic Steatohepatitis,"                 $17,500","                      $0","1 yr 0 mth "
"Abizaid, Alfonso",Carleton University (Ottawa),Project Grant,202104PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Ghrelin at the intersection of stress and metabolism,"                $726,750","                      $0","5 yrs 0 mth "
"Ables, Samantha E","Queen's University (Kingston, Ontario)",Master's Award: Canada Graduate Scholarships,202112GSM,Special Cases - Awards Programs,Examining the effect of Rifaximin on the gut microbiota and visceral pain in patients with irritable bowel syndrome.,"                 $17,500","                      $0","1 yr 0 mth "
"Abou Mehrem, Ayman I; Alshaikh, Belal N; Aziz, Khalid; Benzies, Karen M; Johnson, David W; Shah, Prakeshkumar; Toye, Jennifer M",University of Calgary,Project Grant,202104PJT,Randomized Controlled Trials,Alberta (AB) Collaborative Quality Improvement Strategies to Improve Outcomes of Preterm Infants 32 - 36 Weeks' Gestation: A Stepped-Wedge Cluster Randomized Trial (ABC-QI Trial),"                $765,000","                      $0","4 yrs 0 mth "
"Abrahami, Devin",Direct Payment,CIHR Fellowship,202110MFE,Health Research Training A - Post-PhD (HTA),The comparative effectiveness and safety of four second-line antihyperglycemic drugs in type 2 diabetes mellitus: an international multi-centre cohort study,"                $100,000","                      $0","2 yrs 0 mth "
"Abrahamowicz, Michal M",Research Institute of the McGill University Health Centre,Project Grant,202109PJT,"Public, Community & Population Health 2","New statistical methods for population-based studies of time-varying drug exposures: development, validation, and real-world analyses of drug safety and effectiveness","                $481,950","                      $0","3 yrs 0 mth "
"Abramian, Madlene",University of Toronto,Master's Award: Canada Graduate Scholarships,202112GSM,Special Cases - Awards Programs,Identifying the Therapeutic Effect of Transplanting Interneuronally-biased Neural Progenitor Cells (NPCs) following Spinal Cord Injury,"                 $17,500","                      $0","1 yr 0 mth "
"Abram, Pénélope",Universit&eacute; de Montr&eacute;al,Master's Award: Canada Graduate Scholarships,202112GSM,Special Cases - Awards Programs,The role of mast cells in retinal pigment epithelium injury and photoreceptor loss in a model of retinal degeneration.,"                 $17,500","                      $0","1 yr 0 mth "
"Abu Alrob, Hajar",McMaster University,Summer Program in Aging,202102SMP,Summer Program in Aging,Summer Program in Aging- Longitudinal Studies on Aging,"                      $0","                      $0","1 yr 0 mth "
"Acosta, Sebastian",University of Toronto,Master's Award: Canada Graduate Scholarships,202112GSM,Special Cases - Awards Programs,Investigating the negative impact of integrase inhibitor-based antiretroviral therapy in early pregnancy,"                 $17,500","                      $0","1 yr 0 mth "
"Acton, Rachel",University of Waterloo (Ontario),Health System Impact Fellowships - PostDoc Central Canada 2 year,202102HI5,Fellowship : Health System Impact Fellowships Post Doctoral Fellows (IHSPR FE),Monitoring and evaluation of Canada's Healthy Eating Strategy,"                $108,500","                      $0","2 yrs 0 mth "
"Adamo, Kristi B",University of Ottawa,Project Grant,202104PJT,"Clinical Investigation - A: Reproduction, Maternal, Child and Youth Health 2",SmartMoms Canada: An evaluation of a mobile app intervention to support a healthy pregnancy,"                $439,874","                      $0","3 yrs 0 mth "
"Adams, Matthew; Galloway, Tracey L; Wilson, Kathleen J",University of Toronto,Op. Gr.:Emerging COVID-19 Res. Gaps & Priorities (July 2021) - Urban Populations,202109EG3,Operating Grant: Emerging COVID-19 Research Gaps & Priorities (July 2021),Understanding the COVID-19 Journeys and Vaccine Experiences of Racialized and Immigrant Communities in the Greater Toronto Area,"                $199,000","                      $0","1 yr 0 mth "
"Adamson, Robert B",Dalhousie University (Nova Scotia),Project Grant,202109PJT,Medical Physics & Imaging,Clinical optical coherence tomography of the middle ear,"                $313,652","                      $0","4 yrs 0 mth "
"Adeoti, Adesewa J",University of Calgary,Master's Award: Canada Graduate Scholarships,202112GSM,Special Cases - Awards Programs,Alternating Current Stimulation as a Treatment for Essential Tremor,"                 $17,500","                      $0","1 yr 0 mth "
"Advani, Andrew",Unity Health Toronto,"Project Grant - PA: Nutrition, Metabolism and Diabetes",202109PJ9,"Hematology, Digestive Disease & Kidney",Taking the Sting out of acute kidney injury in diabetes,"                $100,000","                      $0","1 yr 0 mth "
"Affar, El Bachir",CIUSSS Est-de-l'Ile-de- Montr&eacute;al-Maisonneuve Rosemont,Project Grant,202104PJT,Cell Biology - Molecular/Fundamental,Novel regulatory mechanisms of the mammalian nuclear proteasome through liquid-liquid phase separation,"                $952,426","                      $0","5 yrs 0 mth "
"Afifi, Tracie O",University of Manitoba,Project Grant - PA: Data Analysis Using Existing Databases and Cohorts,202109PJV,"Public, Community & Population Health 2","The Impact of Adverse Childhood Experiences (ACEs) and Peer Victimization on Substance Use, Mental Disorders, and Physical Health Conditions among Adolescents and Young Adults in Manitoba: Identifying Protective Factors to Improve Health and Inform Effective Interventions.","                 $75,000","                      $0","1 yr 0 mth "
"Afifi, Tracie O; Tonmyr, Lil E",University of Manitoba,"Op Gr:Understanding/mitigating impacts of COVID-19 on children, youth & families",202107UIP,"Understanding/mitigating impacts of COVID-19 on children, youth & families",Understanding and responding to self-perceived stressors among parents and youth due to the COVID-19 pandemic: Informing an evidence-based public health approach,"                $141,720","                      $0","1 yr 0 mth "
