Name,Institution_Paid,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years_Months
"Aarabi, Mahmoud",Research Institute of the McGill University Health Centre,Travel Awards - Institute Community Support,201501ISU,"Institute of Human Development, Child and Youth Health",Impact of high dose folate supplementation on the human and mouse sperm epigenome,"                  $1,000","                      $0","1 yr 0 mth "
"Aarabi, Mahmoud",Research Institute of the McGill University Health Centre,CIHR Fellowship,201511MFE,Fellowships - Post-PhD,Impact of Folic Acid Supplementation on the Epigenome,"                $112,500","                      $0","2 yrs 6 mths "
"Aare, Sudhakar Reddy",Research Institute of the McGill University Health Centre,Travel Awards - Institute Community Support,201510ISU,Institute of Aging,Failed Reinnervation in Aging Skeletal Muscle is Associated with microRNA-induced Blunting of the Neurotrophin Response.,"                  $1,000","                      $0","1 yr 0 mth "
"Aaron, Shawn D; Plaxton, Joanne; Fitzgerald, J M; Halayko, Andrew J; Lavoie, Kim",Ottawa Hospital Research Institute,SPOR Networks in Chronic Disease - LOI,201501SCD,SPOR Networks in Chronic Disease,The Canadian Airway Disease Research Network (CARN),"                 $50,000","                      $0","1 yr 0 mth "
"Abbas, Ahmed",University of Western Ontario,Master's Award: Canada Graduate Scholarships,201512GSM,Special Cases - Awards Programs,Characterizing an 18F-Ghrelin Mimetic PET probe for Imaging GHSR in the Heart,"                 $17,500","                      $0","1 yr 0 mth "
"Abdifarkoosh, Ghoncheh","York University (Toronto, Ontario)",Master's Award: Canada Graduate Scholarships,201512GSM,Special Cases - Awards Programs,Sex-specific Role of Forkhead Box O1 Protein in Microvascular Remodelling of Adipose Tissue in Obesity,"                 $17,500","                      $0","1 yr 0 mth "
"Abdullahi, Abdikarim",University of Toronto,Doctoral: Vanier Canada Graduate Scholarships,201511CGV,Vanier Canada Graduate Scholarships CIHR,Glucose control in severely burned patients: a prospective randomized trial,"                $150,000","                      $0","3 yrs 0 mth "
"Abikhzer, Jeremie",Universit&eacute; de Montr&eacute;al,Master's Award: Canada Graduate Scholarships,201512GSM,Special Cases - Awards Programs,Étude de prévalence de malocclusions dentaires chez les enfants atteints de troubles du sommeil,"                 $17,500","                      $0","1 yr 0 mth "
"Abi Rafeh, Jad",McGill University,Master's Award: Canada Graduate Scholarships,201512GSM,Special Cases - Awards Programs,Role of osteogenic Menin in bone mass accumulation in vivo,"                 $17,500","                      $0","1 yr 0 mth "
"Abizaid, Alfonso",Carleton University (Ottawa),Operating Grant,201503MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Stress and Obesity: the Ghrelin connection,"                $613,780","                      $0","5 yrs 0 mth "
"Abraham, Karan J",University of Toronto,Doctoral Award - Frederick Banting and Charles Best Canada Graduate Scholarships,201510GSD,Doctoral Research Awards - A,"Suppression of RNA-DNA hybrids - towards a novel and coherent mechanism governing repetitive DNA stability, aging, and neurodegeneration.","                $105,000","                      $0","3 yrs 0 mth "
"Abraham, Karan J",University of Toronto,Doctoral: Vanier Canada Graduate Scholarships,201511CGV,Vanier Canada Graduate Scholarships CIHR,"Suppression of RNA-DNA hybrids - towards a novel and coherent mechanism governing repetitive DNA stability, aging, and neurodegeneration","                $150,000","                      $0","3 yrs 0 mth "
"Abtahi, Sahar",University of Alberta,Master's Award: Canada Graduate Scholarships,201512GSM,Special Cases - Awards Programs,Associations Between Radiographic Findings &amp; Children at Risk of Sleep Disordered Breathing in an Orthodontic Population,"                 $17,500","                      $0","1 yr 0 mth "
"Abu-AlHawa, Maha",Carleton University (Ottawa),Master's Award: Canada Graduate Scholarships,201512GSM,Special Cases - Awards Programs,Characterizing Cognition at Baseline in Patients with Multiple Sclerosis Undergoing Mesenchymal Stem Cells Therapy,"                 $17,500","                      $0","1 yr 0 mth "
"Abulajiang, Maihemuti",Direct Payment,CIHR Fellowship,201511MFE,Health Professional Awards - Fellowships,The role of cell type specific expression of Cadherin-11  in the calcification of aortic valve,"                $100,000","                      $0","2 yrs 0 mth "
"Acai, Anita",McMaster University,Doctoral Award - Frederick Banting and Charles Best Canada Graduate Scholarships,201510GSD,Doctoral Research Awards - B,The clinical mind that wanders: Exploring mind wandering and its effect on routine clinical task performance among medical trainees,"                $105,000","                      $0","3 yrs 0 mth "
"Adamo, Kristi B",Children's Hospital of Eastern Ontario Research Institute Inc,Operating Grant,201503MOP,Movement & Exercise,Does maternal physical activity affect placenta biology?  A multi-tiered approach,"                $833,864","                      $0","5 yrs 0 mth "
"Adam, Salomé",Sinai Health System (Toronto),CIHR Fellowship,201511MFE,Fellowships - Post-PhD,Elucidating the mechanism of BRCA1-independent homologous recombination,"                $135,000","                      $0","3 yrs 0 mth "
"Adam, Salomé",Sinai Health System (Toronto),Banting Postdoctoral Fellowship Program,201509BPF,Banting Postdoctoral Fellowships Program,Elucidating the mechanism of BRCA1-independent homologous recombination,"                $140,000","                      $0","2 yrs 0 mth "
"Adams, Krystyna A","Simon Fraser University (Burnaby, B.C.)",Canada Graduate Scholarships - Michael Smith Foreign Study Supplements,201506FSS,Special Cases - Awards Programs,"Crossing the border for dental care: An ethnographic case study exploring the development of ""Molar City"", Mexico","                  $6,000","                      $0","0 yr 4 mths "
"Adatia, Safina",McGill University,Travel Awards - Institute Community Support,201505ISU,Institute of Gender and Health,Introducing a Quiet Time Intervention: Engaging patients and staff to assess barriers and benefits - pre-intervention results (phase 1).,"                  $1,514","                      $0","1 yr 0 mth "
"Adeli, Khosrow",Hospital for Sick Children (Toronto),Foundation Grant,201509FDN,Foundation Grant,Fundamental and Translational Studies of Diabetic Dyslipidemia in Insulin Resistant States,"              $2,838,143","                      $0","7 yrs 0 mth "
"Aditya, Ishan",McMaster University,Undergraduate: Summer Studentship Award - Institute Community Support,201501SIP,Summer Studentships in Musculoskeletal Health,The Effect of Telmisartan on Muscle Inflammation in the Metabolic Syndrome: A Pilot Study,"                  $5,000","                      $0","0 yr 4 mths "
"Adjibade, Pauline",Universit&eacute; Laval,Travel Awards - Institute Community Support,201505ISU,Institute of Cancer Research,Implication de la voie PERK-Phospho-eIF2a dans la formation des granules de stress induite par sorafenib et la chimiorésistance associée,"                  $1,000","                      $0","1 yr 0 mth "
"Adler, Paula",University of Ottawa,Master's Award: Canada Graduate Scholarships,201512GSM,Special Cases - Awards Programs,The role of the circadian clock in Alzheimer's disease,"                 $17,500","                      $0","1 yr 0 mth "
"Aenishaenslin, Cecile",McGill University,CIHR Fellowship,201511MFE,Health Research Training B - HP,Évaluation des systèmes de surveillance intégrée de la résistance aux antimicrobiens à l'interface homme-animal,"                $165,000","                      $0","3 yrs 0 mth "
"Aerts, Leen",Universit&eacute; de Montr&eacute;al,Travel Awards - Institute Community Support,201510ISU,Institute of Cancer Research,Vulvar cancer and vulvectomy: Is sexual life over?,"                  $1,000","                      $0","1 yr 0 mth "
"Afilalo, Jonathan",McGill University,CIHR New Investigator,201512MSH,Health Professional Awards - New Investigators,Improving Outcomes in Frail Older Adults with Cardiovascular Disease,"                $300,000","                      $0","5 yrs 0 mth "
"Afkhami, Sam",McMaster University,Doctoral Award - Frederick Banting and Charles Best Canada Graduate Scholarships,201510GSD,Doctoral Research Awards - A,Development and therapeutic application of a novel chimpanzee adenovirus-based vaccine against pulmonary tuberculosis,"                $105,000","                      $0","3 yrs 0 mth "
"Afonso, Alexandria",McMaster University,Doctoral Award - Frederick Banting and Charles Best Canada Graduate Scholarships,201510GSD,Doctoral Research Awards - A,Modelling endothelial dysfunction associated with early-onset coronary artery disease,"                $105,000","                      $0","3 yrs 0 mth "
"Agarwal, Rishima",Dalhousie University (Nova Scotia),Master's Award: Canada Graduate Scholarships,201512GSM,Special Cases - Awards Programs,A Biopatterning Strategy for Re-epithelializing Skin Wounds,"                 $17,500","                      $0","1 yr 0 mth "
"Agbeyaka, Senyo",University of Toronto,Travel Awards - Institute Community Support,201505ISU,Institute of Population and Public Health - Travel Awards,Cultivating Healthier Communities: Challenges to Generating Change,"                  $2,104","                      $0","1 yr 0 mth "
"Ahmed, Sara",Research Institute of the McGill University Health Centre,Planning and Dissemination Grant - Institute Community Support,201502PCS,Planning and Dissemination - IMHA,Early diagnosis and prevention of Knee Osteoarthritis - Engaging stakeholders to identify potential opportunities and partnerships between healthcare and community settings in Quebec.,"                  $9,988","                      $0","1 yr 0 mth "
"Ahmed, Zafarali",McGill University,Undergraduate: Summer Studentship Award - Institute Community Support,201501SIP,Undergraduate Studentship - IG,Investigating and Modelling Metastasis due to Circulating Tumor Cell Clusters,"                  $5,000","                      $0","0 yr 4 mths "
"Aiken, Alice B",Direct Payment,Best Brains Exchange Travel Award,201504BBR,Special Cases - Awards Programs,"Best Brains Exchange ""Special populations"" held in Ottawa (Ontario) on November 13, 2015.","                  $1,590","                      $0","1 yr 0 mth "
"Ainslie, Philip N",Direct Payment,Canada Research Chairs - CIHR Funded,201510CRC,Special Cases - Awards Programs,Canada Research Chair Tier 2,"                $500,000","                      $0","5 yrs 0 mth "
"Airo, Adriana M",University of Alberta,Doctoral Award - Frederick Banting and Charles Best Canada Graduate Scholarships,201510GSD,Doctoral Research Awards - A,Role of the West Nile virus-encoded membrane protein NS4A in modulating the barrier function of tight junctions: Implications for neuroinvasive disease,"                $105,000","                      $0","3 yrs 0 mth "
"Aitchison, Adam J",Dalhousie University (Nova Scotia),Master's Award: Canada Graduate Scholarships,201512GSM,Special Cases - Awards Programs,Impact of metal nanoparticle exposure on the susceptibility of welders to bacterial lung infections,"                 $17,500","                      $0","1 yr 0 mth "
"Akolkar, Gauri",University of Manitoba,Travel Awards - Institute Community Support,201505ISU,Institute of Circulatory and Respiratory Health,Elucidating molecular mechanisms in mitigation of Doxorubicin-induced cardiotoxicity by antioxidant Vitamin C,"                  $1,200","                      $0","1 yr 0 mth "
"Albanese, Alexandre",Direct Payment,CIHR Fellowship,201511MFE,Fellowships - Post-PhD,Vascularization of Cerebral Organoids for Patient-Specific Neurodegenerative Disease Models,"                 $70,833","                      $0","1 yr 5 mths "
"Al-Basha, Dhekra",University of Toronto,Master's Award: Canada Graduate Scholarships,201512GSM,Special Cases - Awards Programs,Using optogenetics to study how neuronal excitability is altered in neuropathic pain,"                 $17,500","                      $0","1 yr 0 mth "
"Alcaire, Salvador M",University of Toronto,Undergraduate: Summer Studentship Award - Institute Community Support,201501SIP,Summer Studentships in Musculoskeletal Health,Role of Fibroblast Growth Factor Receptor in Craniosynostosis Syndromes,"                  $5,000","                      $0","0 yr 4 mths "
"Alcock, Bradey L",Brock University (Ontario),Master's Award: Canada Graduate Scholarships,201512GSM,Special Cases - Awards Programs,Mindfulness Training for Individuals with Traumatic Brain Injury,"                 $17,500","                      $0","1 yr 0 mth "
"Alexander, John A",University of British Columbia,Doctoral: Vanier Canada Graduate Scholarships,201511CGV,Vanier Canada Graduate Scholarships CIHR,"Trouncing the ""superbug"": the biophysical characterisation of proteins involved in methicillin resistant Staphylococcus aureus (MRSA) antibiotic resistance","                $150,000","                      $0","3 yrs 0 mth "
"Alexander, John A",University of British Columbia,Doctoral Research Award: Priority Announcement - Infection and Immunity,201510DII,Doctoral Research Awards - A,Trouncing the superbug: the biophysical characterisation of proteins involved in methicillin resistant Staphylococcus aureus (MRSA) antibiotic resistance,"                $105,000","                      $0","3 yrs 0 mth "
"Alexander, Robert T",Direct Payment,Canada Research Chairs - CIHR Funded,201510CRC,Special Cases - Awards Programs,Canada Research Chair Tier 2,"                $500,000","                      $0","5 yrs 0 mth "
"Ali, Nicole S",Dalhousie University (Nova Scotia),Master's Award: Canada Graduate Scholarships,201512GSM,Special Cases - Awards Programs,Modifying Better Nights/Better Days Web-based Intervention for Use by Children with Neurodevelopmental Disabilities: A Systematic Search and a Delphi Study,"                 $17,500","                      $0","1 yr 0 mth "
"Allaire, Janie",Universit&eacute; Laval,Doctoral Award - Frederick Banting and Charles Best Canada Graduate Scholarships,201510GSD,Doctoral Research Awards - A,Étude comparative des effets de l'acide eicosapentaénoïque et docosahexaénoïque sur le métabolisme lipidique et inflammatoire.,"                $105,000","                      $0","3 yrs 0 mth "
"Allen, Ryan","Simon Fraser University (Burnaby, B.C.)",Operating Grant,201503MOP,"Public, Community & Population Health",Randomized Interventions to Evaluate the Effects of Air Pollution Exposure on Children's Health and Development,"                $720,535","                      $0","4 yrs 0 mth "
"Allman, Dan B",University of Toronto,Planning and Dissemination Grant - Institute Community Support,201508PCS,Planning and Dissemination - HIV/AIDS and/or STBBIs,"Islam, Young People and HIV and AIDS in Ontario: Planning for a Comprehensive Study of Needs, Challenges and Priorities","                 $14,968","                      $0","1 yr 0 mth "
