Name,Institution_Paid,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years_Months
"Abelson, Julia; Secko, David M",McMaster University,"Needs, Gaps and Opportunities Assessments in Health Services and Policy",200712NGA,Health Policy & Systems Management Research,Media Saturated Publics: Understanding News Media Roles in Engaging the Public Effectively,"                 $98,500","                      $0","1 yr 0 mth "
"Anazodo, Udunna C",London Health Sciences Centre Res. Inc. (Ont.),Operating Grant: Joint Programme on Neurodegenerative Disease Research (JPND),202007ENG,Special Cases,Developing BBB-ASL as non-invasive early biomarker of Alzheimer's disease (DEBBIE),"                $326,847","                      $0","3 yrs 0 mth "
"Bacon, Simon L; Lavoie, Kim","Concordia University (Montreal, Quebec)",Op. Grant: COVID-19 MS & Substance Use - Matching Access to Service with Needs,202007MS3,COVID-19 Mental Health & Substance Use Service Needs and Delivery,A behavioural science approach to evaluate the prevalence and predictors of COVID-19-related mental health issues and maladaptive behavioural coping (MBC) to inform the development of strategies for tailored interventions,"                $200,000","                      $0","1 yr 0 mth "
"Bayoumi, Ahmed M; Wyman, Jennifer; Young, Samantha V",Unity Health Toronto,Op Gr: COVID-19 MH & Substance Use - Understanding Rapid System Transformations,202007MS1,COVID-19 Mental Health & Substance Use Service Needs and Delivery,Alterations in Prescribing of Opioid Agonist Therapy due to the Pandemic (ALT-POP) Study,"                 $93,723","                      $0","1 yr 0 mth "
"Bourgeault, Ivy L; Bartram, Mary",University of Ottawa,Op. Grant: COVID-19 MS & Substance Use - Matching Access to Service with Needs,202007MS3,COVID-19 Mental Health & Substance Use Service Needs and Delivery,Assessing the Capacity of the Mental Health and Substance Use Workforce to Respond to COVID-19,"                $184,509","                      $0","1 yr 0 mth "
"Briand, Catherine; Gilbert, Michel; Roche, Cathy",CIUSSS Est-de-l'Ile-de- Montr&eacute;al-Maisonneuve Rosemont,Op Gr: COVID-19 MH/SU - Developing Innovative Adaptations of Services/Delivery,202007MS2,COVID-19 Mental Health & Substance Use Service Needs and Delivery,Pour notre santé mentale et bien-être psychologique en période de pandémie: Partenariat pour une implantation en ligne du modèle Recovery College,"                $197,380","                      $0","1 yr 0 mth "
"Campbell, Leslie A; Brennan, Maureen L; Clark, Sharon E; Emberly, Debbie; Chorney, Jill E",Dalhousie University (Nova Scotia),Op Gr: COVID-19 MH & Substance Use - Understanding Rapid System Transformations,202007MS1,COVID-19 Mental Health & Substance Use Service Needs and Delivery,Our Virtual Reality: Rapidly Responding to Changing Mental Health Needs among Children and Adolescents,"                $194,211","                      $0","1 yr 0 mth "
"Chaiton, Michael O; Yager, Christina M; Abramovich, Alex",Centre for Addiction and Mental Health (Toronto),Op Gr: COVID-19 MH/SU - Developing Innovative Adaptations of Services/Delivery,202007MS2,COVID-19 Mental Health & Substance Use Service Needs and Delivery,Mental Health Needs of LGBTQ2S Youth and Young Adults During the COVID-19 Pandemic,"                $199,000","                      $0","1 yr 0 mth "
"Chen, Robert E",University Health Network (Toronto),Operating Grant: Joint Programme on Neurodegenerative Disease Research (JPND),202007ENG,Special Cases,Restoring Motor Functions in Parkinson's Disease with Noninvasive Hybrid Transcranial Neuromodulation,"                $303,189","                      $0","3 yrs 0 mth "
"Chomienne, Marie-Hélène; MacMillan, Leanne",University of Ottawa,Op. Grant: COVID-19 MS & Substance Use - Matching Access to Service with Needs,202007MS3,COVID-19 Mental Health & Substance Use Service Needs and Delivery,"Bien-être psychologique du personnel de l'entretien ménager des hôpitaux canadiens, facteurs déterminants et conditions d'influence en temps de pandémie (COVID-19).","                $199,028","                      $0","1 yr 0 mth "
"Clarke, Hance A",University Health Network (Toronto),Op. Grant: COVID-19 MS & Substance Use - Matching Access to Service with Needs,202007MS3,COVID-19 Mental Health & Substance Use Service Needs and Delivery,Keeping Complex Chronic Pain Patients Alive During and After the COVID-19 Pandemic,"                $198,949","                      $0","1 yr 0 mth "
"Corkum, Penny V; Bastien, Célyne H",Dalhousie University (Nova Scotia),Op Gr: COVID-19 MH/SU - Developing Innovative Adaptations of Services/Delivery,202007MS2,COVID-19 Mental Health & Substance Use Service Needs and Delivery,"Pragmatic trial of two novel pathways for implementation of the Better Nights, Better Days (BNBD) online program to promote and protect the sleep, mental health, psychosocial wellbeing, and family resiliency of children and families during and after COVID-19 pandemic","                $179,700","                      $0","1 yr 0 mth "
"Couturier, Jennifer L; Miller, Catherine",McMaster University,Op Gr: COVID-19 MH/SU - Developing Innovative Adaptations of Services/Delivery,202007MS2,COVID-19 Mental Health & Substance Use Service Needs and Delivery,Adapting and adopting highly specialized pediatric eating disorder treatment to virtual care: Implementation research for the COVID-19 context and beyond,"                $199,930","                      $0","1 yr 0 mth "
"Cunningham, Charles H","Sunnybrook Research Institute (Toronto, Ontario)",Peter Lougheed/CIHR New Investigator Canada's Premier Young Researcher,200709PLS,New Investigators B,Frequency-Selective MRI in Regenerative Medicine,"                $400,000","                      $0","5 yrs 0 mth "
"Da Costa, Deborah M; Nguyen, Tuong-Vi",Research Institute of the McGill University Health Centre,Op Gr: COVID-19 MH/SU - Developing Innovative Adaptations of Services/Delivery,202007MS2,COVID-19 Mental Health & Substance Use Service Needs and Delivery,Acceptability and Impact of a Prenatal Internet Intervention for Promoting Maternal Mental Health in the COVID-19 Context,"                $177,960","                      $0","1 yr 0 mth "
"Duffett-Leger, Linda A; Mcneil, Deborah A",University of Calgary,Op Gr: COVID-19 MH/SU - Developing Innovative Adaptations of Services/Delivery,202007MS2,COVID-19 Mental Health & Substance Use Service Needs and Delivery,"ATTACH™ & VID-KIDS: Rapid User-Informed Web and Mobile Interface Development, Adaptation and Pilot Testing to Support Children's Mental Health and Development.","                $199,440","                      $0","1 yr 0 mth "
"Fasano, Alfonso",University Health Network (Toronto),Operating Grant: Joint Programme on Neurodegenerative Disease Research (JPND),202007ENG,Special Cases,NEURofeedback for self-stimulation of the brain as therapy for ParkInson DisEaSe (NEURIPIDES),"                $281,970","                      $0","3 yrs 0 mth "
"Ferro, Mark",University of Waterloo (Ontario),Op Gr: COVID-19 MH & Substance Use - Understanding Rapid System Transformations,202007MS1,COVID-19 Mental Health & Substance Use Service Needs and Delivery,COVID-19 Effects on Mental Health and Service Provision Effects on Children and Families: The MY LIFE Experience,"                $165,000","                      $0","1 yr 0 mth "
"Fitzpatrick, Skye S; Monson, Candice","York University (Toronto, Ontario)",Op. Grant: COVID-19 MS & Substance Use - Matching Access to Service with Needs,202007MS3,COVID-19 Mental Health & Substance Use Service Needs and Delivery,"Expanding a Randomized Controlled Trial of a Couple Internet-Delivered PTSD Intervention to Reach Military Members, Veterans, and First Responders with COVID-19-Related Trauma Exposure","                $200,000","                      $0","1 yr 0 mth "
"Froehlich Chow, Amanda L",University of Saskatchewan,Operating Grant: SickKids-CIHR-IHDCYH New Investigator Grants,202007SKF,Special Cases,Nature's Way-Our Way: Engaging inTraditional Indigenous Ways of Beingas a Wholistic Path for PromotingWellness and Protecting Against theOnset of Chronic Disease Among EarlyYears Children,"                $287,232","                      $0","3 yrs 0 mth "
