Name,Institution_Paid,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years_Months
"Aalhus, Jill",Direct Payment,Indigenous Gender and Wellness: Idea Fair and Learning Circle,201811IGW,Special Cases - Awards Programs,Indigenous Gender and Wellness: Idea Fair and Learning Circle,"                  $2,641","                      $0","1 yr 0 mth "
"Aali, Maral",Dalhousie University (Nova Scotia),Travel Awards - Institute Community Support,201808ISU,Institute of Circulatory and Respiratory Health,Iron Chelation Attenuates LPS-Induced IL-6 Release in Cystic Fibrosis Epithelial Cells,"                    $650","                      $0","1 yr 0 mth "
"Abbasgholizadeh Rahimi, Samira",Universit&eacute; Laval,Travel Awards - Institute Community Support,201802ISU,Institute of Health Services and Policy Research,Shared Decision Making about Prenatal Testing - Existing Supports and eHealth Potential,"                  $1,500","                      $0","1 yr 0 mth "
"Abdallah, Sara",McGill University,Travel Awards - Institute Community Support,201808ISU,Institute of Circulatory and Respiratory Health,"Effect of inhaled vaporized cannabis on dynamic airway function, breathlessness and exercise intolerance in adults with advanced COPD: A randomized controlled trial","                    $875","                      $0","1 yr 0 mth "
"Abdel-Qadir, Husam-Eldin M",Women's College Hospital (Toronto),Chair: Women Heart and Brain Health - Women's Heart/Brain Hlth (Early Career),201804WH3,Special Cases,Characterizing Heart and Mind health post-chemotherapy in women with breast cancer,"                $374,998","                      $0","5 yrs 0 mth "
"Abdul Sater, Ali","York University (Toronto, Ontario)",Project Grant,201809PJT,Immunology & Transplantation,Dissecting the role of TRAF1 in regulating linear ubiquitination and the impact on inflammatory diseases,"                $803,250","                      $0","5 yrs 0 mth "
"Abel, Krystine",Direct Payment,Indigenous Gender and Wellness: Idea Fair and Learning Circle,201811IGW,Special Cases - Awards Programs,Indigenous Gender and Wellness: Idea Fair and Learning Circle,"                  $1,716","                      $0","1 yr 0 mth "
"Abolmaesumi, Purang; Black, Peter C",University of British Columbia,Project Grant,201803PJT,Medical Physics & Imaging,Multi-centre Temporal Ultrasound Image Analysis for Prostate Cancer Diagnosis,"              $1,158,976","                      $0","5 yrs 0 mth "
"Abouee Mehrizi, Hossein",Direct Payment,Canada Research Chairs - CIHR Funded,201804CRC,Special Cases - Awards Programs,Canada Research Chair Tier 2,"                $500,000","                      $0","5 yrs 0 mth "
"Aboueid, Stephanie E",University of Waterloo (Ontario),Health System Impact Fellowships - Doctoral Central 1-year,201804HI9,Health System Impact Fellowship doctoral trainees (IHSPR DRA),Implementing and Evaluating the Effects of Standardized Electronic Health Records on Learning Health Systems and Patient Experience in Canada,"                 $35,000","                      $0","1 yr 0 mth "
"Abou Elela, Sherif",Universit&eacute; de Sherbrooke,Project Grant,201809PJT,Biochemistry & Molecular Biology - B,Mechanisms and targets of intron dependent regulation of cell growth and adaptation to starvation,"                $921,825","                      $0","5 yrs 0 mth "
"Abou-Sharkh, Ahmed",Research Institute of the McGill University Health Centre,Travel Awards - Institute Community Support,201802ISU,Summer Program in Aging,"HIP Mobile: A community-based Monitoring, Rehabilitation and Learning e-system for patients following a Hip Fracture","                    $985","                      $0","1 yr 0 mth "
"Abrahami, Devin",McGill University,Doctoral: Vanier Canada Graduate Scholarships,201810CGV,Vanier Canada Graduate Scholarships CIHR,Sodium-glucose co-transporter 2 inhibitors and bladder cancer - a causal association or detection bias? An international multicenter cohort study.,"                $150,000","                      $0","3 yrs 0 mth "
"Abramovich, Alex",Centre for Addiction and Mental Health (Toronto),CIHR-IPPH Trailblazer Award  - Early Career Population/Public Health Researcher,201811TL1,CIHR-IPPH Trailblazer Award in Population Health Solutions,CIHR-IPPH Trailblazer Award,"                 $12,500","                      $0","1 yr 0 mth "
"Abrams, Howard B",University Health Network (Toronto),Planning and Dissemination Grant - Institute Community Support,201809PCS,Planning and Dissemination - IHSPR,Natural Occurring Retirement Communities (NORC) Symposium: Supporting Aging in Place,"                 $10,000","                      $0","1 yr 0 mth "
"Abu Raya, Bahaa H",University of British Columbia,Doctoral Award - Frederick Banting and Charles Best Canada Graduate Scholarships,201810GSD,Doctoral Research Awards - A,Evaluation of pertussis immunization in pregnancy,"                $105,000","                      $0","3 yrs 0 mth "
"Abu Raya, Bahaa H",University of British Columbia,Doctoral: Vanier Canada Graduate Scholarships,201810CGV,Vanier Canada Graduate Scholarships CIHR,Evaluation of pertussis immunization in pregnancy,"                $150,000","                      $0","3 yrs 0 mth "
"Acker, Jason P",University of Alberta,Project Grant,201804PJT,Biomedical Engineering,Enabling liver cryopreservation by controlling ice recrystallization with small molecule inhibitors,"                $100,000","                      $0","1 yr 0 mth "
"Adams Lewis, Kaitlyn",Direct Payment,Indigenous Gender and Wellness: Idea Fair and Learning Circle,201811IGW,Special Cases - Awards Programs,Indigenous Gender and Wellness: Idea Fair and Learning Circle,"                  $2,985","                      $0","1 yr 0 mth "
