Name,Institution_Paid,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years_Months
"Aaron, Shawn D; Pakhale, Smita; Stacey, Dawn; Vandemheen, Katherine L",Ottawa Hospital Research Institute,Operating Grant: Knowledge to Action,200910KAL,Operating Grant: Knowledge to Action,Dissemination and Implementation of a Lung Transplant Decision Aid,"                $171,938","                      $0","2 yrs 0 mth "
"Abdulrazak, Bessam; Fulop, Tamàs; Sawan, Mohamad",Universit&eacute; de Sherbrooke,Emerging Team Grant: Alliances in Mobility in Aging - LOI,200911ALL,Emerging Team Grant: Alliances in Mobility in Aging,"CP2M: Continuous, Contextual, Proactive and Personalized Supporting Technology for Mobility in Aging  [CP2M: Technologies de soutien Continu, Contextuel, Proactif et Personnalisé pour la Mobilité au cours du vieillissement]","                 $22,000","                      $0","1 yr 0 mth "
"Abelson, Julia",McMaster University,"Meetings, Planning and Dissemination Grant: Health Services and Policy Research",200906ILM,"Meetings, Planning and Dissemination Grant: Institute of Health Services and Policy Res.","Public Deliberation, Ethics and Health Policy Symposium: Advancing a New Research Field","                 $19,500","                      $0","1 yr 0 mth "
"Abidi, Syed S",Dalhousie University (Nova Scotia),Catalyst Grant: Biomedical & Clinical Approaches to Improving Quality of Life,200903SUR,Catalyst Grant: Biomedical & Clinical Approaches to Improving Quality of Life,An Integrated Knowledge Management Framework for Supporting Young Cancer Survivors,"                 $86,239","                  $3,000","1 yr 0 mth "
"Abonyi, Sylvia",Direct Payment,Canada Research Chairs - CIHR Funded,200904CRC,Special Cases - Awards Programs,CANADA RESEARCH CHAIRHOLDER / TITULAIRE DE CHAIRE DE RECHERCHE DU CANADA,"                $500,000","                      $0","5 yrs 0 mth "
"Aboodi, Guy M",University of Toronto,Master's Award: Frederick Banting and Charles Best Canada Graduate Scholarships,200902CGM,Canada Graduate Scholarships Master's Awards A,Neutrophil count as a predictive factor for a periodontal breakdown,"                 $17,500","                      $0","1 yr 0 mth "
"Abou Elela, Sherif",Universit&eacute; de Sherbrooke,"Meetings, Planning and Dissemination Grant: Genetics",200906MPG,"Meetings, Planning and Dissemination Grant:  Genetics",The RiboClub 10th Anniversary Symposium,"                 $15,000","                      $0","1 yr 0 mth "
"Accili, Eric A",Direct Payment,Canada Research Chairs - CIHR Funded,200911CRC,Special Cases - Awards Programs,CANADA RESEARCH CHAIRHOLDER / TITULAIRE DE CHAIRE DE RECHERCHE DU CANADA - Tier 2,"                $500,000","                      $0","5 yrs 0 mth "
"Adam, Barry D; Bauer, Greta R; Brooks, James I",University of Windsor (Ontario),Catalyst Grant: Infection & Immunity - HIV/AIDS Res - Biomedical/Clinical Stream,200909CI2,Catalyst Grant: Infection and Immunity,Linking Molecular and Social Cluster Analyses in HIV Transmission: Phase 1 project,"                 $96,300","                      $0","1 yr 0 mth "
"Adam, Danielle",Dalhousie University (Nova Scotia),"Undergraduate: Mobility, musculoskeletal health and arthritis - IMHA",200902SMO,Summer Studentships in Musculoskeletal Health,What are the effects of chronic water immersion on bone status and mobility?,"                  $4,950","                      $0","0 yr 3 mths "
"Addicks, Gregory C",Ottawa Hospital Research Institute,Master's Award: Frederick Banting and Charles Best Canada Graduate Scholarships,200902CGM,Canada Graduate Scholarships Master's Awards A,The role of the interaction of Pax7 with a histone  methyltransferase complex in myogenesis and myogenic stem  cells.,"                 $17,500","                      $0","1 yr 0 mth "
"Adeli, Khosrow",Hospital for Sick Children (Toronto),Operating Grant,200909MOP,"Diabetes, Obesity, Lipid & Lipoprotein Disorders",Mechanisms of intestinal lipoprotein overproduction in insulin resistant states,"                $813,990","                      $0","5 yrs 0 mth "
"Advani, Andrew",Unity Health Toronto,Operating Grant,200903MOP,Experimental Medicine,Exploring the therapeutic potential of SDF-1 modulation in chronic kidney disease.,"                $322,652","                      $0","3 yrs 0 mth "
"Ahmed, Sara; Feldman, Debbie",McGill University,Catalyst Grant: Primary and Community-Based Healthcare,200910PCH,Catalyst Grant: Primary and Community-Based Healthcare,Informing changes in primary healthcare service delivery: Advances in estimating longitudinal changes in patient reported outcomes,"                 $99,789","                      $0","1 yr 0 mth "
"Ahmed, Sharif U",University Health Network (Toronto),Fellowship Award - Jump Start Resuscitation Research,200910FJS,Special Cases - Awards Programs,Pharmacological modulation of contractility in ventricular fibrillation,"                 $41,500","                      $0","2 yrs 0 mth "
"Ainslie, Philip N",University of British Columbia,Operating Grant - Priority Announcement: Obesity,200909OOP,Movement & Exercise,"Physical activity, obesity and obstructive sleep apnea","                 $99,328","                      $0","1 yr 0 mth "
