Name,Institution_Paid,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years_Months
"Aardema, Frederikus; O'Connor, Kieron P",CIUSSS de l'Est-de-l'lle-de-Montr&eacute;al-Sant&eacute; Mentale,Project Grant,201709PJT,"Psychosocial, Sociocultural & Behavioural Determinants of Health 2",Inference-Based Cognitive Therapy versus Exposure and Response Prevention for Obsessive-Compulsive Disorder: A 16-Session Randomized Controlled Trial,"                $726,750","                      $0","5 yrs 0 mth "
"Aaron, Catherine","Centre hospitalier universitaire Sainte-Justine (Montr&eacute;al, Qu&eacute;bec)",Undergraduate: Summer Studentship Award - Institute Community Support,201701SIP,Summer Studentships in Musculoskeletal Health,Therapeutic potential of specialized pro-resolving mediators for the treatment of Duchenne muscular dystrophy,"                  $5,000","                      $0","0 yr 4 mths "
"Abbasi Nejad Enger, Shirin; Alfieri, Joanne; Seuntjens, Jan P; Vuong, Te",Research Institute of the McGill University Health Centre,Collaborative Health Research Projects (NSERC partnered),201711CPG,Collaborative Health Research Projects - NSERC Partnered,Novel Delivery System for High Dose Rate Intensity Modulated Brachytherapy with Yb-169 as a Radiation Source,"                $245,475","                 $65,000","3 yrs 0 mth "
"Abbas, Yazan",Hospital for Sick Children (Toronto),CIHR Fellowship,201711MFE,Fellowships - Post-PhD,"Electron cryomicroscopy analysis of erythrocyte Anion Exchanger 1 (AE1), its interaction with erythrocyte cytoskeletal proteins, and its recognition by proteins from malaria-causing Plasmodium parasites.","                $135,000","                      $0","3 yrs 0 mth "
"Abdallah, Sara",McGill University,Travel Awards - Institute Community Support,201701ISU,Institute of Circulatory and Respiratory Health,Effects of immediate release oral morphine on breathlessness and exercise endurance in advanced COPD,"                  $1,000","                      $0","1 yr 0 mth "
"Abe, Kento T",University of Toronto,Master's Award: Canada Graduate Scholarships,201712GSM,Special Cases - Awards Programs,Using proximity biotinylation coupled to mass spectrometry to characterize the role of cytoskeleton-derived signals in colorectal cancer oncogenesis,"                 $17,500","                      $0","1 yr 0 mth "
"Abidi, Syed S; Christie, Sean D",Dalhousie University (Nova Scotia),Catalyst Grant: Personalized Health Catalyst Grants,201706PCG,Personalized Health - predictive analytic models,Predictive Modeling to Predict Personalized Spinal Surgery Outcomes: A Data-Driven e-Health Platform for Informed and Shared Decision Making to Triage Spinal Surgeries,"                $199,408","                      $0","2 yrs 0 mth "
"Abonyi, Sylvia",University of Saskatchewan,Planning and Dissemination Grant - Institute Community Support,201702PCS,Planning and Dissemination - IIPH,"Disparities in Respiratory Health Among First Nations People: Assess, Redress, Re-assess. Sharing Knowledge & Experience, Revealing Priorities & Directions","                 $19,122","                      $0","1 yr 0 mth "
"Abou-Hamad, John",University of Ottawa,Master's Award: Canada Graduate Scholarships,201712GSM,Special Cases - Awards Programs,Investigating the role of the Ste20-like kinase SLK in breast cancer metastasis in vivo,"                 $17,500","                      $0","1 yr 0 mth "
"Abou Jamous, Jihad",Universit&eacute; Laval,Master's Award: Canada Graduate Scholarships,201712GSM,Special Cases - Awards Programs,Effet de l’hyponatrémie sur le pronostic à long terme des patients ayant subi un traumatisme craniocérébral grave,"                 $17,500","                      $0","1 yr 0 mth "
"Abraham, Ninan",University of British Columbia,Project Grant,201709PJT,Immunology and Transplantation 2,CD127 in the development and function of Type 2 Innate Lymphoid Cells (ILC2s).,"              $1,036,575","                      $0","5 yrs 0 mth "
"Adam, George A",University Health Network (Toronto),Undergraduate: Summer Studentship Award - Institute Community Support,201701SIP,Undergraduate Studentship - IG,Development of a Network Visualization Tool for Exploration of Interactions in Bipartite Epithelial-Stromal Networks,"                  $5,000","                      $0","0 yr 4 mths "
"Adam, George A",University of Toronto,Master's Award: Canada Graduate Scholarships,201712GSM,Special Cases - Awards Programs,Predicting Cancer Drug Response with Deep Learning,"                 $17,500","                      $0","1 yr 0 mth "
"Adamko, Darryl J",University of Saskatchewan,Catalyst Grant: Personalized Health Catalyst Grants,201706PCG,Personalized Health - predictive analytic models,Improved delivery of respiratory health care services using a metabolomic approach,"                $187,000","                      $0","2 yrs 0 mth "
"Adams, Evan L; Kendall, Perry; Browne, Annette J; Reading, Jeffrey L; Ward, Amanda J","Simon Fraser University (Burnaby, B.C.)",Catalyst Grant: Indigenous Approaches to Wellness Research,201701IAW,Indigenous Approaches to Wellness Research,First Nations Health and Wellness Indicator Development in British Columbia: The Role of Indigenous Knowledge,"                $150,000","                      $0","0 yr 1 mth "
"Adams, Scott J",University of Saskatchewan,Doctoral: Vanier Canada Graduate Scholarships,201711CGV,Vanier Canada Graduate Scholarships CIHR,Development and evaluation of a remote robotic ultrasound clinic model to improve access to medical imaging in northern and Indigenous communities,"                $150,000","                      $0","3 yrs 0 mth "
"Addis, Donna Rose R",Direct Payment,Canada 150 Research Chairs - CIHR Funded,201709C1F,Special Cases - Awards Programs,Canada 150 Research Chair,"              $2,450,000","                      $0","8 yrs 0 mth "
"Advani, Andrew",Unity Health Toronto,Prize - IHDCYH Talks,201710IHT,Prize - IHDCYH Talks,What is diabetic ketoacidosis (DKA)? - DiaBiteSize,"                    $750","                      $0","1 yr 0 mth "
"Affleck, William P",University of British Columbia,CIHR Fellowship,201711MFE,Health Research Training A - Post-PhD (HTA),Threading gender to a suicide prevention program targeting Canadian Inuit male youth,"                 $90,000","                      $0","2 yrs 0 mth "
"Agarwal, Gina (Ragini)",McMaster University,Catalyst Grant: Personalized Health Catalyst Grants,201706PCG,Personalized Health - novel e-health applications,Developing a Community Paramedicine @Home myCarePlan (myCP) app for frequent users of emergency services: Empowering clients in using appropriate healthcare resources,"                $199,494","                      $0","2 yrs 0 mth "
"Agostino, Martina","Lakehead University (Thunder Bay, Ontario)",Master's Award: Canada Graduate Scholarships,201712GSM,Special Cases - Awards Programs,Novel Methods for the Treatment and Diagnosis of Fibromyalgia,"                 $17,500","                      $0","1 yr 0 mth "
"Agyapong, Vincent O",University of Alberta,Operating Grant: SPOR iCT Rewarding Success - Travel Awards - Alberta,201711TA1,SPOR iCT Rewarding Success - Phase 1: Idea Brief,Improving access to community addiction and mental health services through a multi-faceted approach.,"                  $2,500","                      $0","0 yr 6 mths "
"Aharony, Noga",Universit&eacute; de Montr&eacute;al,Undergraduate: Summer Studentship Award - Institute Community Support,201701SIP,Undergraduate Studentship - IG,SurMIF: a method for the detection of biological macromolecular surface similarities,"                  $5,000","                      $0","0 yr 4 mths "
"Ahmadi, Ali",Ottawa Heart Institute Research Corporation (Ontario),Travel Awards - Institute Community Support,201701ISU,Institute of Circulatory and Respiratory Health,Increased Right Ventricular Sympathetic Activity and Oxygen Consumption in Patients with Right Ventricular Dysfunction,"                  $1,000","                      $0","1 yr 0 mth "
"Ahmed, Eisha",Research Institute of the McGill University Health Centre,Undergraduate: Summer Studentship Award - Institute Community Support,201701SIP,Undergraduate Studentship - IG,Modeling germinal centre B cell responses contributing to allergic disease,"                  $5,000","                      $0","0 yr 4 mths "
