Name,Institution_Paid,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years_Months
"Aaron, Shawn D; Sin, Donald",Ottawa Hospital Research Institute,Operating Grant,201103MOP,Randomized Controlled Trials,Simvastatin Therapy for Moderate and Severe COPD (STATCOPE),"              $1,954,258","                      $0","4 yrs 0 mth "
"Aaron, Shawn D",Ottawa Hospital Research Institute,Operating Grant,201103MOP,Health Services Evaluation & Interventions Research 2,Strategies to Improve Diagnosis and Treatment of Asthma in Canadians,"                $935,738","                      $0","5 yrs 0 mth "
"Abbasian, Aram",Sinai Health System (Toronto),Doctoral Research Award: Canada Graduate Scholarships,202011FBD,Doctoral Research Awards - A,Illuminating deficits in engram synapse structure and function in Alzheimer's disease,"                $105,000","                      $0","3 yrs 0 mth "
"Abe, Kento T",Sinai Health System (Toronto),Doctoral Research Award: Canada Graduate Scholarships,202011FBD,Doctoral Research Awards - A,Identifying novel interacting partners and signalling complexes coupled to adapter protein CCM3,"                $105,000","                      $0","3 yrs 0 mth "
"Abolmaesumi, Purang",University of British Columbia,Operating Grant,201103MOP,Medical Physics & Imaging,Needle Guidance System for Neuraxial Analgesia and Anesthesia,"                $449,365","                      $0","4 yrs 0 mth "
"Abolmaesumi, Purang",University of British Columbia,Collaborative Health Research Projects (NSERC partnered),201110CPG,Collaborative Health Research Projects - NSERC Partnered,Real time guidance surgical navigation system for scaphoid fracture fixation,"                $209,350","                      $0","3 yrs 0 mth "
"Abou zeid, Amr",University of Toronto,"Undergraduate: Mobility, musculoskeletal health and arthritis - ICS",201101SMA,"Undergraduate: Mobility, musculoskeletal health & arthritis - IMHA",Development of a fluorescent strain of the oral spirochete Treponema denticola for intravital microscopy-based investigation of spirochete contributions to periodontal and cardiovascular disease,"                  $4,950","                      $0","0 yr 3 mths "
"Abrahamowicz, Michal M",Research Institute of the McGill University Health Centre,Operating Grant,201103MOP,"Public, Community & Population Health","New Statistical Methods for Population-based Studies of Comparative Effectiveness and Safety of Medications: Development, Validation and Applications","                $695,137","                      $0","5 yrs 0 mth "
"Abrahamowicz, Michal M; Bernatsky, Sasha R; Lacaille, Diane V; Levy, Adrian R; Moride, Yola; Pilote, Louise",Research Institute of the McGill University Health Centre,Team Grant: DSEN Coll Centre for Prospective Studies -Comparative Effectiveness,201106TD3,Team Grant: DSEN Collaborating Centre for Prospective Studies,Developing Advanced Methods for Population-Based Comparative Effectiveness Studies,"                $950,000","                      $0","3 yrs 0 mth "
"Abrishami, Mahsa",University of Saskatchewan,Doctoral Research Award - PA: Regional Partnerships Program - Saskatchewan,201110RSA,Doctoral Research Awards - A,The Role of Insulin-like Growth Factor-1 (IGF-1) Signaling on Chronic Phase and Blast Crisis Phase of Chronic Myeloid Leukemia,"                 $52,500","                      $0","3 yrs 0 mth "
"Acs, .",Direct Payment,Directed Grant - Bourse Fernand-Seguin,201103DRN,Communications and Public Outreach Directed Grants,Bourse Fernand-Seguin 2011-2013,"                 $45,000","                      $0","3 yrs 0 mth "
"Actua, .",Direct Payment,Synapse - CIHR Youth Connection Program,201103SYN,CIHR Synapse Program,"Promoting Health Research Career Opportunities for 4,500 Northern Youth","                 $90,000","                      $0","3 yrs 0 mth "
"Actua, .",Direct Payment,Synapse - CIHR Youth Connection Program,201103SYN,CIHR Synapse Program,"Promoting Health Research Career Opportunities to 100,000 Canadian Youth","                $300,000","                      $0","3 yrs 0 mth "
