Name,Institution_Paid,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years_Months
"Aaron, Shawn D; Martin, James G",Ottawa Hospital Research Institute,ICRH Emerging Network Grants - LOI,201211IEL,ICRH Emerging Network Grants - LOI,The Canadian Respiratory Research Network; Exploring the Origin and Progression of Airway Disease,"                 $30,000","                      $0","1 yr 0 mth "
"Abbas, Ahmed F","York University (Toronto, Ontario)",Master's Award: Canada Graduate Scholarships,202012GSM,Special Cases - Awards Programs,"Examining the Barriers to, Facilitators of, and Perspectives of Canadian Dental Students in Pursuing Geriatric Dentistry      Examining the Barriers to, Facilitators of, and Perspectives of Canadian Dental Students in Pursuing Geriatric Dentistry","                 $17,500","                      $0","1 yr 0 mth "
"Abdallah, Mohamed Nur",Direct Payment,Travel Awards - Institute Community Support,201209ISU,Institute of Musculoskeletal Health and Arthritis,The Effect of Magnesium ions on Dental Enamel Properties,"                  $1,000","                      $0","0 yr 3 mths "
"Abdelhalim, Rana",University of Ottawa,Master's Award: Canada Graduate Scholarships,202012GSM,Special Cases - Awards Programs,Using longitudinal motor mapping and an automated skilled reaching paradigm to characterize motor impairment and recovery in a mouse model of cerebral microinfarction,"                 $17,500","                      $0","1 yr 0 mth "
"Abdel-Qadir, Husam-Eldin M",University of Toronto,Fellowship - Priority Announcement: Drug Safety and Effectiveness,201210FDS,Health Professional Awards - Fellowships,Cardiovascular disease in patients with breast cancer and lymphoma,"                $275,000","                      $0","5 yrs 0 mth "
"Abdolmaleki, Darya",University of Western Ontario,Master's Award: Canada Graduate Scholarships,202012GSM,Special Cases - Awards Programs,Investigation of T-helper 17 properties in glucocorticoid treated T-helper 2 cells,"                 $17,500","                      $0","1 yr 0 mth "
"Abdullah, Hasan",University Health Network (Toronto),"Undergraduate: Mobility, musculoskeletal health and arthritis - ICS",201201SMA,"Undergraduate: Mobility, musculoskeletal health & arthritis - IMHA",BAT1 Polymorphisms in Psoriasis and Psoriatic Arthritis,"                  $4,950","                      $0","0 yr 3 mths "
"Abdullahi, Abdirahman",University of Manitoba,Master's Award: Canada Graduate Scholarships,201202GSM,Canada Graduate Scholarships Master's Awards A,Investigation of Immune Quiescence: Assessing the role of T regulatory cells and their link with IRF-1 in HIV Exposed Sero-negative (HESN) subjects,"                 $17,500","                      $0","1 yr 0 mth "
"Abelson, Julia",McMaster University,Planning Grants-Priority Announcement:Partnerships for Health System Improvement,201206MHS,Planning Grants,Building a Platform for Quality Public Engagement in Canada,"                 $21,500","                      $0","1 yr 0 mth "
"Abelson, Julia; Levin, Leslie",McMaster University,Healthcare Renewal Policy Analysis,201209HRA,Healthcare Renewal Policy Analysis,Strengthening Governance and Accountability in Ontario Health Technology Assessment: A Framework for Public Engagement,"                $130,907","                      $0","1 yr 0 mth "
"Abenhaim, Haim A",CIUSSS de Centre-Ouest-de-l'Ile-de-Montr&eacute;al-Jewish General,Operating Grant,201209MOP,"Public, Community & Population Health",Are Cesarean Deliveries Associated with a Long-Term Increased Risk of Small Bowel Obstruction?,"                $156,813","                      $0","2 yrs 0 mth "
