Name,Institution_Paid,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years_Months
"Abdallah, Sara",McGill University,Doctoral Award - Frederick Banting and Charles Best Canada Graduate Scholarships,201410GSD,Doctoral Research Awards - A,Physiological Mechanisms of Dyspnea Relief and Improved Exercise Tolerance after Treatment with Oral Morphine in Patients with advanced Chronic Obstructive Pulmonary Disease,"                $105,000","                      $0","3 yrs 0 mth "
"Abonyi, Sylvia; Oosman, Sarah N",University of Saskatchewan,Operating Grant,201403MOP,Aboriginal Peoples' Health,Wuskiwiy-tan! Let's Move! Aging well in a northern Saskatchewan Métis Community,"              $1,253,649","                      $0","5 yrs 0 mth "
"Abrahamowicz, Michal M; Bérard, Anick; Bernatsky, Sasha R; Hohl, Corinne M; Lacaille, Diane V; Levesque, Linda E; Levy, Adrian R; Moride, Yola; Pilote, Louise",Research Institute of the McGill University Health Centre,Team Grant: DSEN Coll Centre for Prospective Studies -Comparative Effectiveness,201405TD3,DSEN Collaborating Centres,Canadian Network for Advanced Interdisciplinary Methods  for Prospective  Studies of Drug Safety and Effectiveness,"              $1,242,000","                  $8,000","5 yrs 0 mth "
"Acton, Rachel",University of Waterloo (Ontario),Master's Award: Canada Graduate Scholarships,201412GSM,Special Cases - Awards Programs,Investigating total and added sugar levels in pre-packaged foods in Canadian supermarkets: a research proposal,"                 $17,500","                      $0","1 yr 0 mth "
"Adam, Laura",University of Alberta,Master's Award: Canada Graduate Scholarships,201412GSM,Special Cases - Awards Programs,"Use of the ""5As of Healthy Pregnancy Weight Gain"" tool to Foster Healthy Conversations with Pregnant Women","                 $17,500","                      $0","1 yr 0 mth "
"Adam, Ramina",University of Western Ontario,Master's Award: Canada Graduate Scholarships,201412GSM,Special Cases - Awards Programs,Functional connectivity changes underlying recovery of visual attention after frontal cortex lesion using functional magnetic resonance imaging in non-human primates.,"                 $17,500","                      $0","1 yr 0 mth "
"Adams, Andrew E",Direct Payment,Travel Awards - Institute Community Support,201405ISU,HIV/AIDS and/or other Sexually Transmitted and Blood-borne Infections (STBBIs).,Using Viral Dynamics to Connect Clinical Markers of Disease Progression to Sequence Evolution during HIV Infection,"                  $2,500","                      $0","0 yr 3 mths "
"Adams, Krystyna A","Simon Fraser University (Burnaby, B.C.)",Doctoral Award - Frederick Banting and Charles Best Canada Graduate Scholarships,201410GSD,Doctoral Research Awards - B,"Crossing the border for dental care: An ethnographic case study exploring the development of ""Molar City"", Mexico","                $105,000","                      $0","3 yrs 0 mth "
"Afifi, Tracie O",University of Manitoba,Foundation Grant,201409FDN,Foundation Grant,"Preventing Child Maltreatment: Changing a Child's Trajectory, Improving Health, and Strengthening Families.","                $883,855","                      $0","5 yrs 0 mth "
"Aggarwal, Harrish",Brock University (Ontario),Master's Award: Canada Graduate Scholarships,201412GSM,Special Cases - Awards Programs,Weight Gain and Perceived Social Self-Worth among Canadian Children and Peri-Adolescents,"                 $17,500","                      $0","1 yr 0 mth "
"Ahmadzadeh, Elaheh",CIUSSS de Centre-Ouest-de-l'Ile-de-Montr&eacute;al-Jewish General,Travel Awards - Institute Community Support,201409ISU,Institute of Cancer Research,Resistance to paclitaxel in triple negative breast cancer cells is associated with ABCB1 gene rearrangement,"                  $1,000","                      $0","1 yr 0 mth "
"Ahmadzai, Mohammad M",Direct Payment,Travel Awards - Institute Community Support,201401ISU,Institute of Circulatory and Respiratory Health,Integrins are Novel Mechanoreceptors for Human Eosinophil Activation,"                    $900","                      $0","0 yr 3 mths "
"Ahmed, Syed M",Direct Payment,CIHR Fellowship,201411MFE,Fellowships - Post-PhD,Role of Par3 in the Homeostatic Maintenance of Mammary Epithelial Cells.,"                $150,000","                      $0","3 yrs 0 mth "
"Ahuja, Christopher S",University of Toronto,CIHR Fellowship,201411MFE,Health Professional Awards - Fellowships,Regenerative approaches to enhance recovery following cervical spinal cord injury,"                $275,000","                      $0","5 yrs 0 mth "
