Name,Institution_Paid,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years_Months
"Aaron, Shawn D; Martin, James G",Ottawa Hospital Research Institute,ICRH Emerging Network Grants - Full Application,201306IEF,ICRH Emerging Network Grants - Full Application,The Canadian Respiratory Research Network: Origin and Progression of Airway Disease,"              $4,350,000","                      $0","5 yrs 0 mth "
"Aasa, Kristiina",Direct Payment,Travel Awards - Institute Community Support,201305ISU,"Institute of Human Development, Child and Youth Health",Echocardiographic Analyses of Pregnancies in the Placental Growth Factor Knockout Mouse,"                  $1,000","                      $0","0 yr 3 mths "
"Abadie, Valerie; Barreiro, Luis B","Centre hospitalier universitaire Sainte-Justine (Montr&eacute;al, Qu&eacute;bec)","Catalyst Grant: Environments, Genes and Chronic Disease",201304CEN,"Catalyst Grant: Environments, Genes and Chronic Disease",Deciphering the pathways associated with tissue destruction in celiac disease,"                 $99,967","                      $0","1 yr 0 mth "
"Abbott, John G",Direct Payment,Best Brains Exchange Travel Award,201304BBR,Special Cases - Awards Programs,Community Based Service Models for Seniors,"                  $2,111","                      $0","1 yr 0 mth "
"Abdelmoneim, Ahmed",Direct Payment,Travel Awards - Institute Community Support,201305ISU,"Institute of Nutrition, Metabolism and Diabetes","Glyburide, In Contrast To Gliclazide, Has A Dose-Response Relationship With Adverse Cardiovascular Outcomes In Type 2 Diabetes Patients","                  $1,386","                      $0","0 yr 3 mths "
"Abdollahi, Sara",Direct Payment,Travel Awards - Institute Community Support,201305ISU,Institute of Musculoskeletal Health and Arthritis,The State of Bioglass 45S5 during Scaffold Fabrication for Bone Tissue Engineering,"                  $1,000","                      $0","0 yr 3 mths "
"Abdullah, Kawsari",Direct Payment,Travel Awards - Institute Community Support,201305ISU,"Institute of Human Development, Child and Youth Health",Practice variation in the absence of clinical guidelines for managing non-anemic iron deficiency (NAID) in children: A community based study.,"                  $1,000","                      $0","0 yr 3 mths "
"Abenhaim, Haim A",CIUSSS de Centre-Ouest-de-l'Ile-de-Montr&eacute;al-Jewish General,Operating Grant,201309MOP,Randomized Controlled Trials 2,"Progesterone for the Prevention of Miscarriage in Women with First Trimester Bleeding: Double Blind, Placebo-Controlled Randomized Trial","              $1,077,519","                      $0","4 yrs 0 mth "
"Abild, Miranda L",Direct Payment,Doctoral Award - Doctoral Foreign Study Award (DFSA),201310DFS,Doctoral Research Awards - B,Predicting Reduced Female Gender Identity in Women with Congenital Adrenal Hyperplasia,"                $105,000","                      $0","3 yrs 0 mth "
"Ablenas, Robert D; Harrison, Scott",Direct Payment,Planning Grants - Priority Announcement: Aging,201302MAG,Planning Grants,Framework for Action to Create Social Support Networks for 60+ Gay Men in BC,"                 $25,000","                      $0","1 yr 0 mth "
"Abonyi, Sylvia",University of Saskatchewan,"Dissemination Events - PA: First Nations, Inuit and M&eacute;tis Health",201306DFN,Dissemination Events Grants,Addressing and Redressing Issues of Respiratory Health and Housing Among First Nations People: Program & Policy Options,"                 $19,005","                      $0","1 yr 0 mth "
"Aboud, Lindsay G",University of Manitoba,Doctoral Award - Frederick Banting and Charles Best Canada Graduate Scholarships,201310GSD,Doctoral Research Awards - A,"Examining the role of Serpin B1 on HIV-1 replication, host immune activation and mucosal inflammation","                $105,000","                      $0","3 yrs 0 mth "
"Abouee Mehrizi, Hossein",Direct Payment,Canada Research Chairs - CIHR Funded,201304CRC,Special Cases - Awards Programs,CANADA RESEARCH CHAIRHOLDER - Tier 2 / TITULAIRE DE CHAIRE DE RECHERCHE DU CANADA - Niveau 2,"                $500,000","                      $0","5 yrs 0 mth "
"Abraham, Mona",University Health Network (Toronto),Doctoral Award - Frederick Banting and Charles Best Canada Graduate Scholarships,201310GSD,Doctoral Research Awards - A,Hypothalamic glucagon action in the regulation of energy balance.,"                $105,000","                      $0","3 yrs 0 mth "
"Acai, Anita",McMaster University,Master's Award: Canada Graduate Scholarships,201312GSM,Special Cases - Awards Programs,Use of Social Media for Evidence-Informed Decision-Making in Public Health,"                 $17,500","                      $0","1 yr 0 mth "
"Achtymichuk, Karly",University of Alberta,Master's Award: Canada Graduate Scholarships,201312GSM,Special Cases - Awards Programs,Characteristics associated with influenza vaccination in patients with diabetes: a population-based cohort study,"                 $17,500","                      $0","1 yr 0 mth "
"Adam, Nadine",University of Ottawa,Master's Award: Canada Graduate Scholarships,201312GSM,Special Cases - Awards Programs,Manipulation of the alternative NF-kappaB pathway to promote muscle regeneration,"                 $17,500","                      $0","1 yr 0 mth "
"Adams, Kimberley D; Tavakoli, Mahdi",University of Alberta,Collaborative Health Research Projects (NSERC partnered),201310CPG,Collaborative Health Research Projects - NSERC Partnered,Robotic interface with Haptic Guidance and Artificial Intelligence for People with Disabilities,"                $166,500","                      $0","3 yrs 0 mth "
"Addison, William N",Direct Payment,Travel Awards - Institute Community Support,201301ISU,Institute of Musculoskeletal Health and Arthritis,Zinc finger protein 521 (Zfp521) regulates BMP-dependent osteoblast versus adipocyte lineage commitment in mesenchymal progenitor cells,"                  $1,000","                      $0","0 yr 3 mths "
"Advani, Andrew",Unity Health Toronto,Operating Grant,201309MOP,"Hematology, Digestive Disease & Kidney",JAK2 and podocytes in diabetic nephropathy.,"                $672,439","                      $0","5 yrs 0 mth "
"Affoo, Rebecca H",Direct Payment,Travel Awards - Institute Community Support,201309ISU,Institute of Aging,Salivary Flow Rates in Normal Healthy Aging: A Scoping Review of the Evidence,"                  $1,000","                      $0","0 yr 3 mths "
"Afkhami, Sam",McMaster University,Master's Award: Canada Graduate Scholarships,201312GSM,Special Cases - Awards Programs,Respiratory mucosal immunization with a novel simian adenovirus-based vaccine against tuberculosis: Overcoming pre-existing anti-human adenovirus type 5 immunity,"                 $17,500","                      $0","1 yr 0 mth "
"Afonso, Alexandria",McMaster University,Master's Award: Canada Graduate Scholarships,201312GSM,Special Cases - Awards Programs,Modeling early myocardial infarction using patient-derived induced pluripotent stem cells,"                 $17,500","                      $0","1 yr 0 mth "
"Agarwal, Gina (Ragini); Dolovich, Lisa R; Mcdonough, Beatrice A",McMaster University,Operating Grant,201309MOP,Health Services Evaluation & Interventions Research,A Community Paramedicine Initiative for Older Adults Living in Subsidized Housing,"                $370,979","                      $0","3 yrs 0 mth "
"Aghaeepour, Nima",Direct Payment,CIHR Fellowship,201311MFE,Fellowships - Post-PhD,"Computationally-guided Characterization, Isolation, and Eradication of Tumor Initiating Cells","                $150,000","                      $0","3 yrs 0 mth "
"Aghazadeh-Habashi, Ali",Direct Payment,Travel Awards - Institute Community Support,201301ISU,Institute of Circulatory and Respiratory Health,Effect of glucosamine on renin-angiotensin system under inflammatory condition,"                  $1,400","                      $0","0 yr 3 mths "
"Aghourian-Namagerdy, Meghmik",Universit&eacute; du Qu&eacute;bec &agrave; Montr&eacute;al,Master's Award: Canada Graduate Scholarships,201312GSM,Special Cases - Awards Programs,Sensitivity of [18F]FEOBV used with positron emission tomography to identify patients with Alzheimer’s Disease.,"                 $17,500","                      $0","1 yr 0 mth "
"Agrawal, Babita",University of Alberta,Proof of Principle Program - Phase I,201302PPP,Proof of Principle,New dual-mode antiviral agents for the treatment of hepatitis C virus infection,"                $159,984","                      $0","1 yr 0 mth "
"Agudelo, Daniel S",Universit&eacute; Laval,Master's Award: Canada Graduate Scholarships,201312GSM,Special Cases - Awards Programs,Correction du gène de la dystrophine à l'aide des Trascription activator-like effector nucleases,"                 $17,500","                      $0","1 yr 0 mth "
"Agudelo, Daniel S",Universit&eacute; Laval,"Undergraduate: Mobility, musculoskeletal health and arthritis - ICS",201301SMA,"Undergraduate: Mobility, musculoskeletal health & arthritis - IMHA",Correction du gène de la dystrophine avec des protéines ZFNs et TALENs.,"                  $4,950","                      $0","0 yr 3 mths "
"Aguilar Valles, Argel",Universit&eacute; de Montr&eacute;al,CIHR Fellowship,201311MFE,Fellowships - Post-PhD,Translational control in synaptic homeostasis during the generation of exacerbated brain excitability linked to neurodevelopmental psychiatric disorders,"                 $86,250","                      $0","1 yr 11 mths "
"Ahluwalia, Amrita",Ontario HIV Treatment Network,Catalyst Grant: HIV/AIDS CBR Program - General Stream,201304CDE,HIV/AIDS Community-Based Research (merged),"Women, HIV and Aging: The intersecting marginalized social identities, access to services and their impact on the quality of life.","                 $33,000","                      $0","1 yr 0 mth "
"Ahmad, Farah","York University (Toronto, Ontario)",CIHR New Investigator,201312MSH,Health Research Salary A,Interactive Technologies for Mental Health in Primary care,"                $300,000","                      $0","5 yrs 0 mth "
"Ahmadzai, Mohammad M",McMaster University,Master's Award: Canada Graduate Scholarships,201302GSM,Canada Graduate Scholarships Master's Awards A,Elucidating the role of calcium-waves in human eosinophil migration and degranulation,"                 $17,500","                      $0","1 yr 0 mth "
"Ahmed, Sara",Research Institute of the McGill University Health Centre,"Dissemination Events - PA: Musculoskeletal Hlth, Arthritis, Skin & Oral Health",201302DMH,Dissemination Events Grants,Dissemination of evidence-informed care for chronic pain,"                 $24,880","                      $0","1 yr 0 mth "
