Name,Institution_Paid,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years_Months
"Aardema, Frederikus",CIUSSS de l'Est-de-l'lle-de-Montr&eacute;al-Sant&eacute; Mentale,CIHR New Investigator,201009MSH,Health Research Salary A,Introspection and insight in non-clinical and clinical populations,"                $240,000","                      $0","4 yrs 0 mth "
"Aardema, Frederikus",CIUSSS de l'Est-de-l'lle-de-Montr&eacute;al-Sant&eacute; Mentale,Operating Grant,201009MOP,"Psychosocial, Sociocultural & Behavioural Determinants of Health 2",Introspection and insight in non-clinical and clinical populations,"                $205,152","                      $0","4 yrs 0 mth "
"Aaron, Shawn D; Sin, Donald",Ottawa Hospital Research Institute,Operating Grant,201010MOP,Randomized Controlled Trials,Simvastatin Therapy for Moderate and Severe COPD (STATCOPE),"                $100,000","                      $0","1 yr 0 mth "
"Abdelfatah, Nelly F",Memorial University of Newfoundland,Fellowship - PA: Regional Partnership Program - Newfoundland & Labrador,201002RNE,Health Professional Awards - Fellowships,"Using a genetic isolate to identify novel genes causing otosclerosis, the most common cause of progressive hearing loss in Caucasians worldwide.","                 $45,000","                      $0","2 yrs 0 mth "
"Abdel Hakeem, Mohamed S",Centre hospitalier de l'Universit&eacute; de Montr&eacute;al (CHUM),Doctoral Award - Frederick Banting and Charles Best Canada Graduate Scholarships,201010GSD,Doctoral Research Awards - A,Signatures of a successful immune response against hepatitis C virus,"                $105,000","                      $0","3 yrs 0 mth "
"Abdelouahab, Nadia",Universit&eacute; de Sherbrooke,Banting Postdoctoral Fellowship Program,201011BPF,Banting Postdoctoral Fellowships Program,Old and new environmental exposures: focus on flame retardants mixture as a potential risk factor for neurodevelopmental impairment. Follow up of GESTE birth cohort.,"                $140,000","                      $0","2 yrs 0 mth "
"Abdullah, Kawsari",University of Toronto,Master's Award: Canada Graduate Scholarships,201002GSM,Canada Graduate Scholarships Master's Awards B,"Association between child temperament and development of overweight/obesity and iron deficiency, in young children 1-5 years of age: a community based study.","                 $17,500","                      $0","1 yr 0 mth "
"Abdulrazak, Bessam",Universit&eacute; de Sherbrooke,Dissemination Events,201010KDE,Dissemination Events Grants,ICOST2011: 9th International Conference on Smart Homes and Health Telematics,"                 $17,500","                      $0","1 yr 0 mth "
"Abella, Jasmine",Direct Payment,CIHR Fellowship,201010MFE,Fellowships - Post-PhD,Elucidation of novel regulators of invadopodia formation and function,"                $150,000","                      $0","3 yrs 0 mth "
"Abizaid, Alfonso",Carleton University (Ottawa),Operating Grant,201003MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Stress and Obesity: the Ghrelin connection,"                $543,716","                      $0","5 yrs 0 mth "
"Abraham, Sheela A","Queen's University (Kingston, Ontario)",Project Grant,202010PJT,Cancer Biology & Therapeutics 2,Elucidating the role extracellular vesicles play in leukaemogenesis,"              $1,071,000","                      $0","5 yrs 0 mth "
"Abraham, Sheela A","Queen's University (Kingston, Ontario)",PRIZE - Project Grant - PA: Prize: Early Career Investigator in Cancer,202010PJF,Special Cases,Early Career Award in Cancer: Elucidating the role extracellular vesicles play in leukaemogenesis,"                 $25,000","                      $0","1 yr 0 mth "
"Acaho, .",Direct Payment,Directed Grant:Association of Canadian Academic Healthcare Organizations (ACAHO),201007ACA,Special Cases,Proposal for Development of a Canadian Model Clinical Trial Agreement,"                 $44,500","                      $0","0 yr 4 mths "
"Accili, Eric A",University of British Columbia,Operating Grant,201003MOP,Cell Physiology,Regulation of HCN channel opening by cyclic nucleotides,"                $371,250","                      $0","3 yrs 0 mth "
"Acker, Jason P",Canadian Blood Services (Ottawa),Operating Grant,201009MOP,"Clinical Investigation - A: Reproduction, Maternal, Child and Youth Health",Preservation of red cells from cord blood as a new blood product for intrauterine and neonatal transfusions,"                $209,897","                      $0","2 yrs 0 mth "
"Acker, Jason P",University of Alberta,Project Grant,202010PJT,Biomedical Engineering,Enabling liver cryopreservation by controlling ice recrystallization with small molecule inhibitors,"                $600,524","                      $0","4 yrs 0 mth "
"Ackroyd-Stolarz, Stacy A",Nova Scotia Health Authority (Halifax),Catalyst Grant: Pilot Projects in Aging - Biological & Clinical Aspects of Aging,201009IAB,Institute of Aging Pilot Projects,The Care Imperative: Improving Patient Safety in an Aging Population,"                 $30,020","                      $0","1 yr 0 mth "
"Adamantidis, Antoine",Direct Payment,Canada Research Chairs - CIHR Funded,201010CRC,Special Cases - Awards Programs,CRC tier 2,"                $500,000","                      $0","5 yrs 0 mth "
"Adam, Kathleen E",University of British Columbia,"Undergraduate: Mobility, musculoskeletal health and arthritis - ICS",201003SMA,"Undergraduate: Mobility, musculoskeletal health & arthritis - IMHA",The role of self-management in people's early rheumatoid arthritis help-seeking experience,"                  $4,950","                      $0","0 yr 3 mths "
"Addison, William N",Direct Payment,CIHR Fellowship,201010MFE,Fellowships - Post-PhD,Regulation of osteoblast differentiation by FosB and Wnt signalling interactions.,"                $150,000","                      $0","3 yrs 0 mth "
"Adeli, Khosrow",Hospital for Sick Children (Toronto),Operating Grant,201010MOP,Social & Developmental Aspects of Children's & Youth's Health,CALIPER: Closing the Gaps in Pediatric Reference Intervals,"                $100,000","                      $0","1 yr 0 mth "
"Adeli, Khosrow",Hospital for Sick Children (Toronto),Operating Grant: Industry-partnered Collaborative Research - Rx&D partner,201003IRO,Industry Partnered Collaborative Research,Establishment of A New Database of Pediatric Laboratory Reference Intervals for Biomarkers of Pediatric Disease,"                 $66,196","                      $0","1 yr 0 mth "
"Adelson, Naomi","York University (Toronto, Ontario)",Planning Grants,201010KPE,Planning Grants,"Planning Workshop to Explore Intersections of ICTs, Aboriginal Health & Identity","                 $22,062","                      $0","1 yr 0 mth "
"Adeponle, Ademola B",CIUSSS de Centre-Ouest-de-l'Ile-de-Montr&eacute;al-Jewish General,Doctoral Award - Frederick Banting and Charles Best Canada Graduate Scholarships,201010GSD,Doctoral Research Awards - B,Recovery in cultural context: Identifying key processes and domains of recovery in Euro-Canadian and Afro-Canadian persons diagnosed with severe mental illness,"                $105,000","                      $0","3 yrs 0 mth "
"Affar, El Bachir",CIUSSS Est-de-l'Ile-de- Montr&eacute;al-Maisonneuve Rosemont,CIHR New Investigator,201009MSH,New Investigators C,Transcriptional regulation by a novel deubiquitinase multi-protein complex,"                $300,000","                      $0","5 yrs 0 mth "
"Afzal, Samia",University Health Network (Toronto),Doctoral Award - Frederick Banting and Charles Best Canada Graduate Scholarships,201010GSD,Doctoral Research Awards - A,Elucidating the Function(s) of UVRAG in T Cell Biology,"                $105,000","                      $0","3 yrs 0 mth "
"Agarwal, Gina (Ragini)",McMaster University,Project Grant PA: Healthy Cities Research Initiative (HCRI) Data Analysis Grants,202010PJW,Social Dimensions in Aging,A retrospective cohort using multilevel modelling of administrative data to predict and prevent movement of low-income older adults from social housing into Long Term Care facilities: Development of the Keeping Low-income Older adults in Social housing hEalthy at home ('KLOSE') Tool,"                 $75,000","                      $0","1 yr 0 mth "
"Aguilar, HECTOR N",University of Alberta,Scriver Family MD/PhD Studentship Award,201006IMD,Special Cases - Awards Programs,The Role of the RhoA-Rho kinase system in Regulation of Myosin Light Chain Phosphorylation in Human Uterine Myocytes.,"                 $12,222","                      $0","0 yr 10 mths "
"Ahmed, Mavra",University of Toronto,Master's Award: Canada Graduate Scholarships,201002GSM,Canada Graduate Scholarships Master's Awards A,A Randomized Controlled Trial of the Effect of Thiamin Supplementation on Heart Function in Ambulatory Patients with Heart Failure,"                 $17,500","                      $0","1 yr 0 mth "
"Ahmed, Sara",McGill University,Catalyst Grant: Pilot Projects in Aging - Social Dimensions of Aging,201009IAD,Institute of Aging Pilot Projects - Social Dimensions,Empowering patient decision making and health management: evaluating individual preferences and willingness to adopt health information technologies.,"                 $48,341","                      $0","1 yr 0 mth "
"Aho, Joséphine R",Direct Payment,Fellowship - PA: Health Services/Population Health HIV/AIDS Research,201002ZNF,Health Research Training A - Post-PhD (HTA),"Prévention et traitement du VIH chez les hommes ayant des relations sexuelles avec des hommes à Abidjan, Côte-d'Ivoire","                $150,000","                      $0","3 yrs 0 mth "
"Aiken, Alice B","Queen's University (Kingston, Ontario)",Dissemination Events,201006KDE,Dissemination Events Grants,Military and Veterans Health Research Forum,"                 $14,000","                      $0","1 yr 0 mth "
"Ainslie, Philip N",Direct Payment,Canada Research Chairs - CIHR Funded,201010CRC,Special Cases - Awards Programs,CRC tier 2,"                $500,000","                      $0","5 yrs 0 mth "
"Al-Afif, Ayham",Dalhousie University (Nova Scotia),Master's Award: Canada Graduate Scholarships,201002GSM,Canada Graduate Scholarships Master's Awards A,Pro-asthma-like responses of Human Mast Cells to Respiratory Syncytial Virus (RSV),"                 $17,500","                      $0","1 yr 0 mth "
"Alain, Claude",Baycrest Centre for Geriatric Care (Toronto),Operating Grant,201003MOP,"Behavioural Sciences - C: Behavioural Studies, Neuroscience and Cognition",Aging and the Neural Architecture Supporting Perceptual Organization of Speech,"                $787,638","                      $0","5 yrs 0 mth "
"Alaoui-Jamali, Moulay A",CIUSSS de Centre-Ouest-de-l'Ile-de-Montr&eacute;al-Jewish General,Operating Grant - Priority Announcement: Breast Cancer,201003COP,Cancer Progression & Therapeutics 2,Investigation of the Filamin Signaling Network's Function in Cancer Progression,"                $740,235","                      $0","5 yrs 0 mth "
"Alary, Michel",Universit&eacute; Laval,Planning Grants - Priority Announcement:  HIV/AIDS,201010MPL,Planning Grants,"Planning of the 19th Conference of the International Society for STD Research, Quebec-2011","                 $22,500","                      $0","1 yr 0 mth "
"Alary, Michel; Kpatchavi, Adolphe C",Universit&eacute; Laval,Operating Grant: Programmatic Grants to tackle health and health equity - LOI,201007ROG,Programmatic Grant in Health & Health Equity (LOI),"Travail du sexe, marginalisation et santé : approches de recherche visant l'équité en santé en contexte prostitutionnel béninois","                 $14,988","                      $0","0 yr 5 mths "
"Al-Awar, Rima S","Ontario Institute for Cancer Research (Toronto, Ontario)",Project Grant,202010PJT,Pharmaceutical Sciences,The Discovery and Optimization of NUAK Inhibitors: A Novel Approach to Target Hippo Pathway Driven Cancers,"                $520,199","                      $0","3 yrs 0 mth "
"Alba, Ana Carolina",McMaster University,Doctoral: Vanier Canada Graduate Scholarships,201010CGV,Vanier Canada Graduate Scholarships CIHR,Endothelial progenitor cells in heart failure patients,"                $150,000","                      $0","3 yrs 0 mth "
"Alba, Ana Carolina",McMaster University,Doctoral Award - Frederick Banting and Charles Best Canada Graduate Scholarships,201010GSD,Doctoral Research Awards - B,Endothelial progenitor cells in heart failure patients,"                $105,000","                      $0","3 yrs 0 mth "
"Alberts, Nicole M",University of Regina (Saskatchewan),Doctoral Award - Frederick Banting and Charles Best Canada Graduate Scholarships,201010GSD,Doctoral Research Awards - B,Internet-Delivered Cognitive Behavioural Therapy for Depression among Cancer Patients: A Randomized Controlled Trial,"                $105,000","                      $0","3 yrs 0 mth "
"Albouy, Genevieve","CIUSSS du Centre-Sud-de-l'&Icirc;le-de-Montr&eacute;al (Montr&eacute;al, Qu&eacute;bec)",CIHR Fellowship,201002MFE,Fellowships - Post-PhD,"Influence du sommeil diurne (sieste) sur les corrélats cérébraux de la consolidation des mémoires de séquences motrices chez les sujets jeunes et âgés, explorée à l'aide de l'imagerie par résonance magnétique fonctionnelle (IRMf)","                $135,000","                      $0","3 yrs 0 mth "
"Alexander, Robert T",University of Alberta,Operating Grant,201003MOP,Experimental Medicine,A transport metabolon in the apical membrane of the proximal tubule alters sodium and water (re)absorption,"                $319,296","                      $0","3 yrs 0 mth "
"Algar, Walter R; Williams, Karla",University of British Columbia,Project Grant,202010PJT,Biomedical Engineering,Materials and Technologies for Highly Sensitive Biomarker Analysis of Extracellular Vesicles Toward Cancer Diagnostics,"                $367,200","                      $0","3 yrs 0 mth "
"Ali, Tahir",University of Calgary,Banting Postdoctoral Fellowship Program,202010BPF,Banting Postdoctoral Fellowships Program,Cyp46A1 as a novel therapeutic target in prion diseases,"                $140,000","                      $0","2 yrs 0 mth "
"Allan, Alison L",University of Western Ontario,Project Grant,202010PJT,Cancer Progression & Therapeutics 2,Influence of breast cancer-derived extracellular vesicles (BCEVs) on lung metastasis of triple negative breast cancer,"                $872,100","                      $0","5 yrs 0 mth "
"Allan, Douglas W",University of British Columbia,Project Grant,202010PJT,Molecular & Cellular Neurosciences - B,Transcriptional programs of synapse maturation,"                $856,800","                      $0","5 yrs 0 mth "
"Allan, Katherine S",Unity Health Toronto,Doctoral Award - Frederick Banting and Charles Best Canada Graduate Scholarships,201010GSD,Doctoral Research Awards - B,The Family Study: Assessment of the risk of family members of victims of out of hospital cardiac arrest for Coronary Artery Disease and Sudden Cardiac Death,"                $105,000","                      $0","3 yrs 0 mth "
"Allard-Chamard, Hugues",Universit&eacute; de Sherbrooke,Project Grant - PA: Musculoskeletal Health and Arthritis - Pain,202010PYY,"Clinical Investigation - B: Arthritis, Bone, Skin and Cartilage",Understanding the contribution of DICER and microRNAs to inflammatory arthritis,"                $100,000","                      $0","1 yr 0 mth "
"Allen, Michael J; Tobin, Corinne",Dalhousie University (Nova Scotia),Knowledge Translation Supplement,201010KTB,"Meetings, Planning and Dissemination Grant: End of Grant Knowledge Supplement",Enhancing Continuing Education for Primary Care Providers with a Novel KT Initiative,"                 $56,740","                      $0","1 yr 0 mth "
