Name,Institution_Paid,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years_Months
"Abbas, Ahmed F","York University (Toronto, Ontario)",Master's Award: Canada Graduate Scholarships,202012GSM,Special Cases - Awards Programs,"Examining the Barriers to, Facilitators of, and Perspectives of Canadian Dental Students in Pursuing Geriatric Dentistry      Examining the Barriers to, Facilitators of, and Perspectives of Canadian Dental Students in Pursuing Geriatric Dentistry","                 $17,500","                      $0","1 yr 0 mth "
"Abbasian, Aram",Sinai Health System (Toronto),Doctoral Research Award: Canada Graduate Scholarships,202011FBD,Doctoral Research Awards - A,Illuminating deficits in engram synapse structure and function in Alzheimer's disease,"                $105,000","                      $0","3 yrs 0 mth "
"Abdelhalim, Rana",University of Ottawa,Master's Award: Canada Graduate Scholarships,202012GSM,Special Cases - Awards Programs,Using longitudinal motor mapping and an automated skilled reaching paradigm to characterize motor impairment and recovery in a mouse model of cerebral microinfarction,"                 $17,500","                      $0","1 yr 0 mth "
"Abdolmaleki, Darya",University of Western Ontario,Master's Award: Canada Graduate Scholarships,202012GSM,Special Cases - Awards Programs,Investigation of T-helper 17 properties in glucocorticoid treated T-helper 2 cells,"                 $17,500","                      $0","1 yr 0 mth "
"Abe, Kento T",Sinai Health System (Toronto),Doctoral Research Award: Canada Graduate Scholarships,202011FBD,Doctoral Research Awards - A,Identifying novel interacting partners and signalling complexes coupled to adapter protein CCM3,"                $105,000","                      $0","3 yrs 0 mth "
"Aberback, Ryan",University of Ottawa,Master's Award: Canada Graduate Scholarships,202012GSM,Special Cases - Awards Programs,Oxytocin Promotes Interpersonal Behaviours During Cognitive Behavioural Therapy,"                 $17,500","                      $0","1 yr 0 mth "
"Abraham, Rachy",University of Alberta,CIHR Fellowship,202012MFE,Fellowships - Post-PhD,Leveraging host peroxisome biogenesis and activity to dampen replication of emerging RNA viruses - an approach towards host directed antiviral development.,"                $135,000","                      $0","3 yrs 0 mth "
"Abraham, Sheela A","Queen's University (Kingston, Ontario)",Project Grant,202010PJT,Cancer Biology & Therapeutics 2,Elucidating the role extracellular vesicles play in leukaemogenesis,"              $1,071,000","                      $0","5 yrs 0 mth "
"Abraham, Sheela A","Queen's University (Kingston, Ontario)",PRIZE - Project Grant - PA: Prize: Early Career Investigator in Cancer,202010PJF,Special Cases,Early Career Award in Cancer: Elucidating the role extracellular vesicles play in leukaemogenesis,"                 $25,000","                      $0","1 yr 0 mth "
"Abuloghod, Lama",McGill University,Master's Award: Canada Graduate Scholarships,202012GSM,Special Cases - Awards Programs,The (pro)renin receptor: an emerging player in tumorigenesis,"                 $17,500","                      $0","1 yr 0 mth "
