Name,Institution_Paid,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years_Months
"Aaltonen, Mari S",University of British Columbia,Travel Awards - Institute Community Support,201901ISU,Summer Program in Aging,The challenge of dementia in the era of increasing longevity and changing care organizations,"                  $1,000","                      $0","1 yr 0 mth "
"Abbasgholizadeh Rahimi, Samira",McGill University,Project Grant - PA: Patient-Oriented Research: Early-Career Investigator,201909PJM,Health Services Evaluation & Interventions Research 3,Xi-Care: eXplainable intelligent system for Cardiovascular disease management among women in primary Care,"                $100,000","                      $0","1 yr 0 mth "
"Abbasi Nejad Enger, Shirin; Therriault-Proulx, Francois; Reinhold, Caroline",McGill University,Collaborative Health Research Projects (NSERC partnered),201910CPG,Collaborative Health Research Projects - NSERC Partnered,Development of a non-invasive positron detector to measure the arterial input function for pharmacokinetic modelling in dynamic positron emission tomography imaging,"              $1,214,556","                 $89,250","3 yrs 0 mth "
"Abbasi Nejad Enger, Shirin",Direct Payment,Canada Research Chairs - CIHR Funded,201904CRC,Special Cases - Awards Programs,Canada Research Chair - Tier 2,"                $600,000","                      $0","5 yrs 0 mth "
"Abdin, Osama",University of Toronto,Master's Award: Canada Graduate Scholarships,201912GSM,Special Cases - Awards Programs,Generative modelling for de novo design of peptides with specific protein binding affinity,"                 $17,500","                      $0","1 yr 0 mth "
"Abdullahi, Abdikarim",Direct Payment,Banting Postdoctoral Fellowship Program,201909BPF,Banting Postdoctoral Fellowships Program,Turning White Fat into Energy-burning Brown Fat: New hope in the fight against Obesity.,"                $140,000","                      $0","2 yrs 0 mth "
"Abdullah, Kawsari; Plint, Amy C",Children's Hospital of Eastern Ontario Research Institute Inc,"Op Grant: Data Analysis - Reproductive, Maternal, Child and Youth Health",201910DA5,Data Analysis Using Existing Databases and Cohorts,"Evaluating the risk of asthma at age 5 and 10 years in children diagnosed with bronchiolitis during infancy - a study merging emergency department-based clinical data from the Canadian Bronchiolitis Epinephrine Steroid Trial (CanBEST), and the Bronchiolitis Severity Cohort (BSC) study to routinely collected provincial health administrative databases (HAD).","                 $74,925","                      $0","1 yr 0 mth "
"Abel, Krystine",Centre for Addiction and Mental Health (Toronto),Indigenous Gender and Wellness Development Grants,201910IWD,Indigenous Gender and Wellness Development Grants,Knowledge Circles to Understand Indigenous 2SLGBTQ Inclusion in the Mental Health and Addictions System in Ontario: Dialogues to Explore a 2SLGBTQ Training Program,"                 $35,000","                      $0","1 yr 0 mth "
"Abelson, David C",University Health Network (Toronto),Doctoral Research Award: Canada Graduate Scholarships,201911FBD,Doctoral Research Awards - A,Using Machine Learning and Oscillometry to Predict Graft Failure After Lung Transplantation,"                $105,000","                      $0","3 yrs 0 mth "
"Abelson, Julia",McMaster University,Operating Grant: Patient-Oriented Research Impact Assessment Grants,201910POI,Operating Grant : POR Impact Assessment,Impacts of Patient-Oriented Pain Research (IPOPR): A case study of the iCanCope with Pain Project,"                 $49,998","                      $0","1 yr 0 mth "
"Abelson, Julia; Vanstone, Meredith",McMaster University,Project Grant,201903PJT,Health Policy & Systems Management Research,Examining patient partner and advisor roles in the Canadian health system: a mixed-methods policy analysis,"                $329,104","                      $0","3 yrs 0 mth "
"Ablona, Aidan",University of British Columbia,Travel Awards - Institute Community Support,201901ISU,HIV/AIDS and/or other Sexually Transmitted and Blood-borne Infections (STBBIs).,Dried-Blood Spot HIV and Hepatitis C Virus (HCV) Testing Uptake in Community-Based Bio-Behavioural Research,"                  $1,490","                      $0","1 yr 0 mth "
"Abolmaesumi, Purang; Wodlinger, Brian; Black, Peter C",University of British Columbia,Collaborative Health Research Projects (NSERC partnered),201910CPG,Collaborative Health Research Projects - NSERC Partnered,Next Generation Micro-ultrasound Technology for Detection and Monitoring of Prostate Cancer,"                $279,550","                      $0","3 yrs 0 mth "
"Abou Elela, Sherif",Direct Payment,Canada Research Chairs - CIHR Funded,201904T1C,Special Cases - Awards Programs,Canada Research Chair - Tier 1,"              $1,400,000","                      $0","7 yrs 0 mth "
"Abou-Sharkh, Ahmed",Research Institute of the McGill University Health Centre,Travel Awards - Institute Community Support,201901ISU,Summer Program in Aging,Walk-Well Tool Kit: How well do you have to walk to walk for health? A technological solution to an important question.,"                      $0","                      $0","1 yr 0 mth "
"Abram, Quinn H",McGill University,Doctoral Research Award: Canada Graduate Scholarships,201911FBD,Doctoral Research Awards - A,Zika Virus Evolution and the Impact on Viral Fitness in Mosquito Cells,"                $105,000","                      $0","3 yrs 0 mth "
"Acton, Rachel",University of Waterloo (Ontario),Travel Awards - Institute Community Support,201901ISU,CPHA Conference,Front-of-package nutrition labels: experimental evidence to guide national and global policy development,"                  $1,500","                      $0","1 yr 0 mth "
"Adams, Alayne",McGill University,Planning and Dissemination Grant - Institute Community Support,201909PCS,Global Health,"Addressing inequities in urban food systems: developing a collaborative implementation research agenda in Dhaka, Bangladesh and Phnom Penh, Cambodia","                 $20,000","                      $0","1 yr 0 mth "
"Adams, Evan L; Henry, Bonnie J","Simon Fraser University (Burnaby, B.C.)",Planning and Dissemination Grant - Institute Community Support,201903PCS,Planning and Dissemination - IIPH,"Sharing Our Language of Land, Water, and Territory as an Indigenous Determinant of Health: Developing a Culturally Grounded Videographic Knowledge Translation Tool from the ""First Nations Health and Wellness Indicator Development in British Columbia"" Study","                 $25,000","                      $0","1 yr 0 mth "
"Adanty, Christopher",University of Toronto,Master's Award: Canada Graduate Scholarships,201912GSM,Special Cases - Awards Programs,Stress-induced stable and dynamic methylation change in glucocorticoid receptor gene: analysis in suicidal ideation,"                 $17,500","                      $0","1 yr 0 mth "
"Adili, Anthony; Sporta, Peter; Madden, Kim",McMaster University,Catalyst Gr: Address. Musculoskeletal Cond./Arthritis in Cnds- Joint replacement,201910AD1,Catalyst Grant: Addressing Musculoskeletal Conditions and Arthritis in Canadians,The Role of Robotics in Knee Replacement Surgery (RoboKnees): A Pilot Randomized Controlled Trial,"                 $97,594","                      $0","1 yr 0 mth "
"Adreak, Najah",University of British Columbia,Travel Awards - Institute Community Support,201909ISU,Travel Awards - Canadian Cardiovascular Congress,Ministernotomy Aortic valve replacement provides equivalent short and long terms survival rate in BC patients in comparison with the standard approach.,"                  $1,000","                      $0","1 yr 0 mth "
"Advani, Andrew",Unity Health Toronto,Project Grant,201903PJT,"Hematology, Digestive Disease & Kidney",Reshaping the epigenetic landscape to improve outcomes after acute kidney injury,"                $929,476","                      $0","5 yrs 0 mth "
"Afifi, Tracie O",Direct Payment,Canada Research Chairs - CIHR Funded,201904T1C,Special Cases - Awards Programs,Canada Research Chair - Tier 1,"              $1,400,000","                      $0","7 yrs 0 mth "
"Afilalo, Jonathan; Afilalo, Marc; Beauchet, Olivier Y",CIUSSS de Centre-Ouest-de-l'Ile-de-Montr&eacute;al-Jewish General,Project Grant,201909PJT,Clinical Investigation - D: Cardiovascular Systems,Geriatric Intervention for Frail Heart Failure patients: The GIF-HF Trial,"                $428,400","                      $0","4 yrs 0 mth "
"AFNIGC, AFNIGC; Bell, Rhonda C; Bill, Lea; Montesanti, Stephanie R; Oster, Richard T; Wadsworth, William",Direct Payment,Team Grant: Indigenous Component of Healthy Life Trajectories (I-HeLTI),201908IHL,Indigenous Component of Healthy Life Trajectory Initiative (I-HeLTI) - Development Grants,Restoring the Healthy Family System in Indigenous Communities: A Collaborative Research Partnership in Alberta to Address the Gap in Indigenous Health Outcomes,"              $1,012,500","                      $0","2 yrs 0 mth "
"Agarwal, Gina (Ragini)",McMaster University,Prize: IHSPR Article of the Year Award,201902AOY,IHSPR Article of the Year Award,Evaluation of a community paramedicine health promotion and lifestyle risk assessment program for older adults who live in social housing: a cluster randomized trial,"                 $12,000","                      $0","1 yr 0 mth "
"Agharazii, Mohsen",Universit&eacute; Laval,Project Grant,201903PJT,Clinical Investigation - D: Cardiovascular Systems,Arterial stiffness gradient as a new index of vascular aging: impact of blood pressure lowering medication,"                $378,676","                      $0","5 yrs 0 mth "
"Aglipay, Mary",Unity Health Toronto,Fellowship: POR Awards - Transition to Leadership Stream - Phase 1,201911TLS,POR Awards- Transition to Leadership Stream- Phase 1- Fellowship,Patient-oriented pediatric clinical prediction algorithms,"                $165,000","                      $0","3 yrs 0 mth "
"Agrawal, Babita",University of Alberta,Project Grant,201903PJT,Commercialization,Development of a novel universal (cross-protective) vaccine technology for influenza viruses,"                $367,200","                      $0","3 yrs 0 mth "
"Aguiar, Magda F",University of British Columbia,Health System Impact Fellowships - PostDoc Western Canada 2 year,201904HI7,Fellowship : Health System Impact Fellowships Post Doctoral Fellows (IHSPR FE),"Investing wisely: using economic modelling to optimize public health strategies to reduce harm from alcohol, tobacco and cannabis and optimize benefits in British Columbia","                 $35,417","                      $0","2 yrs 0 mth "
"Ahenakew, Cash R",Direct Payment,Canada Research Chairs - CIHR Funded,201910CRC,Special Cases - Awards Programs,Canada Research Chairs - Tier 2,"                $600,000","                      $0","5 yrs 0 mth "
"Ahmad, Fayeza",McGill University,Master's Award: Canada Graduate Scholarships,201912GSM,Special Cases - Awards Programs,Endothelial Dysfunction in Women Taking Levonorgestrel Containing Birth Control,"                 $17,500","                      $0","1 yr 0 mth "
"Ahmad Khan, Faiz; Andersson, Neil; Fletcher, Christopher; Sandy, Glenda",Research Institute of the McGill University Health Centre,Project Grant,201909PJT,Indigenous Health Research,Community Health Workers in Tuberculosis Prevention & Care Services in Nunavik,"                $707,626","                      $0","3 yrs 0 mth "
"Ahmed, Alveena",McMaster University,Master's Award: Canada Graduate Scholarships,201912GSM,Special Cases - Awards Programs,Investigating the mechanism of constitutive activation of PKG Ib R177Q in thoracic aortic disease,"                 $17,500","                      $0","1 yr 0 mth "
"Ahmed, Sara E",University of Toronto,Doctoral: Vanier Canada Graduate Scholarships,201911CGV,Vanier Canada Graduate Scholarships CIHR,Identifying Specific Receptor Mediated Mechanisms Underlying the Delivery of Nanoparticle Vehicles across the Blood Brain Barrier for the Treatment of Glioblastoma,"                $150,000","                      $0","3 yrs 0 mth "
"Ahmed, Sofia B",University of Calgary,Operating Grant: Women's Health Clinical Mentorship Grant,201910WHC,Women's Health Clinical Mentorship Grant,Exogenous estrogen exposure and cardiovascular risk in women,"                 $50,000","                      $0","1 yr 0 mth "
"Ahun, Marilyn","Centre hospitalier universitaire Sainte-Justine (Montr&eacute;al, Qu&eacute;bec)",Travel Awards - Institute Community Support,201909ISU,"Institute of Human Development, Child and Youth Health",Maternal depressive symptoms and children's academic performance: Sex differences in the mediating role of school experiences,"                  $1,000","                      $0","1 yr 0 mth "
"Ailles, Laurie E; Haibe-Kains, Benjamin",University Health Network (Toronto),Project Grant,201909PJT,Cancer Progression & Therapeutics,Prognostic Biomarkers and Novel Therapies for Oral Squamous Cell Carcinoma Patients,"              $1,051,875","                      $0","5 yrs 0 mth "
"Aitchison, Cara",Brock University (Ontario),Undergraduate: Summer Studentship Award - Institute Community Support,201901SIP,Summer Studentships in Musculoskeletal Health,Influence of dietary linoleic acid on muscle form and function in a rodent model of Barth syndrome,"                  $5,000","                      $0","0 yr 4 mths "
"Akik, Wided",Research Institute of the McGill University Health Centre,Travel Awards - Institute Community Support,201901ISU,Institute of Circulatory and Respiratory Health,Mechanisms Underlying Corticosteroid Insensitivity Induction by Interleukin-17A in Bronchial Epithelial Cells,"                  $1,000","                      $0","1 yr 0 mth "
"Akimenko, Marie-Andrée",University of Ottawa,Project Grant,201903PJT,Developmental Biology,Zebrafish fin regeneration: Cellilar mechanisms.,"                $619,650","                      $0","5 yrs 0 mth "
"Akpan, Olufolakemi E",Dalhousie University (Nova Scotia),Master's Award: Canada Graduate Scholarships,201912GSM,Special Cases - Awards Programs,Use of Data Envelopment Analysis to Create Benchmarks for the transition from acute to inpatient care in stroke patients,"                 $17,500","                      $0","1 yr 0 mth "
"Al-Aubodah, Tho-Alfakar",McGill University,Doctoral Research Award: Canada Graduate Scholarships,201911FBD,Doctoral Research Awards - A,Elucidating the factors dictating regulatory T cell function in immune-mediated glomerular diseases.,"                $105,000","                      $0","3 yrs 0 mth "
"Alavi, Nazanin","Queen's University (Kingston, Ontario)",Team Grant: Mental Wellness in Public Safety Team Grants - LOI,201903MWL,Team Grant: Mental Wellness in Public Safety Team Grants - LOI,Delivering online cognitive behavioural therapy (iCBT) to address mental health challenges in correctional officers and other public safety personnel,"                 $30,000","                      $0","1 yr 0 mth "
"Alavi, Nazanin; Simpson, Alexander I","Queen's University (Kingston, Ontario)",Team Grant: Mental Wellness in Public Safety Team Grants,201911MWP,Team Grant: Mental Wellness in Public Safety Team Grants - Full Application,Delivering online cognitive behavioural therapy (iCBT) to address mental health challenges in correctional officers and other public safety personnel,"                $860,000","                      $0","3 yrs 0 mth "
"Albert, Paul R",Ottawa Hospital Research Institute,Project Grant,201909PJT,Pharmacology & Toxicology,Overcoming resistance to antidepressant treatment,"                $791,775","                      $0","5 yrs 0 mth "
"Alda, Martin",Nova Scotia Health Authority (Halifax),Project Grant,201903PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,Clinical and genetic factors in response to treatment of bipolar disorder,"                $753,526","                      $0","5 yrs 0 mth "
"Alexander, Robert T",University of Alberta,Project Grant,201903PJT,"Hematology, Digestive Disease & Kidney",Calcium Sensing Receptor (CaSR) Signaling in the Thick Ascending Limb (TAL): Delineating the Pathways Perturbed in Kidney Stone Formers,"                $952,426","                      $0","5 yrs 0 mth "
"Alexeev, Konstantin",University of Ottawa,Master's Award: Canada Graduate Scholarships,201912GSM,Special Cases - Awards Programs,Identifying and inhibiting novel signalling pathways involved in the amplification of C/EBPá expression as a means to prevent muscle wasting in cancer.,"                 $17,500","                      $0","1 yr 0 mth "
"Alfano, Victoria","Queen's University (Kingston, Ontario)",Master's Award: Canada Graduate Scholarships,201912GSM,Special Cases - Awards Programs,A Possible Association Between Insulin and Alzheimer?s Disease: Examining the Consequences of Altered Insulin Signalling on the Expression of Human Amyloid-Beta in Caenorhabditis elegans,"                 $17,500","                      $0","1 yr 0 mth "
"Alford, Morgan A",University of British Columbia,Doctoral: Vanier Canada Graduate Scholarships,201911CGV,Vanier Canada Graduate Scholarships CIHR,Identification of novel Pseudomonas aeruginosa metabolic regulators and characterization of their role in adaptive resistance and virulence,"                $150,000","                      $0","3 yrs 0 mth "
"Ali, Yasmin",IWK Health Centre (Halifax),Operating Grant: Secretariat for the responsible conduct of Research,201904PRE,Special Cases,6th World Conference on Research Integrity.,"                  $3,500","                      $0","1 yr 0 mth "
"Alizadeh, Javad",University of Manitoba,Doctoral: Vanier Canada Graduate Scholarships,201911CGV,Vanier Canada Graduate Scholarships CIHR,"The role of mitophagy and extracellular matrix (ECM) stiffness in the regulation of epithelial-to-mesenchymal transition (EMT), and subsequent metastasis in non-small cell lung cancer (NSCLC) model.","                $150,000","                      $0","3 yrs 0 mth "
"Allemang, Brooke",University of Calgary,Doctoral Research Award: Canada Graduate Scholarships,201911FBD,Doctoral Research Awards - B,Transition Readiness and Experiences of Young Adults with Co-occurring Chronic Health and Mental Health Issues Exiting Pediatric Services: A Mixed Methods Study,"                $105,000","                      $0","3 yrs 0 mth "
"Allemang, Brooke",University of Calgary,Fellowship: POR Awards - Transition to Leadership Stream - Phase 1,201911TLS,POR Awards- Transition to Leadership Stream- Phase 1- Fellowship,Transition Readiness and Experiences of Young Adults with Co-occurring Chronic Health and Mental Health Issues Exiting Pediatric Services: A Mixed Methods Study,"                $165,000","                      $0","3 yrs 0 mth "
"Allen, Ryan","Simon Fraser University (Burnaby, B.C.)",Project Grant,201903PJT,"Public, Community & Population Health",An intervention study of prenatal air pollution exposure and its impacts on cardiometabolic and respiratory health in children,"                $699,976","                      $0","4 yrs 6 mths "
"Allingham, John S","Queen's University (Kingston, Ontario)",Project Grant,201909PJT,Biochemistry & Molecular Biology - A,Kinesin motor protein dynamics and mitotic mechanisms in Candida albicans,"                $573,750","                      $0","5 yrs 0 mth "
"Almaayah, Zaid H",University of Alberta,CIHR Fellowship,201910MFE,Fellowships - Post-PhD,The role of ketones in heart failure,"                $135,000","                      $0","3 yrs 0 mth "
"AlMasri, Ibrahim",University of Calgary,Master's Award: Canada Graduate Scholarships,201912GSM,Special Cases - Awards Programs,"""Characterization, care outcomes and costs of the Diabetes Care program for refugees in Lebanon.""","                 $17,500","                      $0","1 yr 0 mth "
"Almekhlafi, Mohammed A; Goyal, Mayank",University of Calgary,Project Grant,201903PJT,Clinical Investigation - D: Cardiovascular Systems,Evaluating oral peri-operative acetylsalicylic acid in patients undergoing endovascular coiling-only of unruptured brain aneurysms. A Phase 3 Multicenter Randomized Placebo-Controlled Trial,"                $569,926","                      $0","3 yrs 0 mth "
"Alpaugh, Melanie",Universit&eacute; Laval,CIHR Fellowship,201910MFE,Fellowships - Post-PhD,Modeling blood-brain barrier dysfunctions using induced pluripotent stem cells: new insights into Huntington's disease pathology,"                 $90,000","                      $0","2 yrs 0 mth "
